title;entity;Vikidia;Wikipedia
Мадагаскар;LOC;Мадагаскар  22 599 098 Человек  Расположение Мадагаскара на земном шаре.  Мадагаска́р или Республика Мадагаскар (Madagasikara — Madagascar) — страна в восточной Африке, расположенная на пятом по величине острове мира в Индийском Океане.;Мадагаска́р (малаг. Madagasikara [ma.da.ɡa.si.ˈkʲa.ra], фр. Madagascar [madaɡasˈkaʁ]), официальное название — Респу́блика Мадагаска́р (малаг. Repoblikan'i Madagasikara [repuˈblikʲanʲ madaɡasʲˈkʲarə̥], фр. République de Madagascar [ʁe.py.bˈlik de madaɡasˈkaʁ]) — островное государство в Индийском океане, расположенное на острове Мадагаскар (четвёртый по величине остров в мире) и прилегающих мелких островах у побережья Африки. Площадь 587 тыс. км², население 28,2 млн чел. Столица — Антананариву. Является крупнейшим в мире государством, занимающим один остров. После распада суперконтинента Гондвана, около 88 миллионов лет назад, Мадагаскар отделился от Индии, что обусловило развитие местных растений и животных в относительной изоляции. Более 90 % местных видов не встречаются больше нигде на Земле.
Организация Объединённых Наций;ORG;Флаг организации объединённых наций  Организация Объединённых Наций(OOH) — это организация по обеспечению мира и предотвращению войны между странами мира.  Здание Организацией объединённых Наций в Нью-Йорке  Зал генеральной ассамблеи  Флаги перед зданием ООН в Женеве;Организа́ция Объединённых На́ций (акрон. ООН) — международная организация, созданная для поддержания и укрепления международного мира и безопасности, а также развития сотрудничества между государствами. ООН считается универсальным форумом, наделённым уникальной легитимностью, несущей конструкцией международной системы коллективной безопасности, главным элементом современной многосторонней дипломатии. Штаб-квартира ООН находится в Нью-Йорке, у ООН также есть дополнительные офисы в Вене, Женеве и Найроби. Международный суд ООН находится в Гааге. ООН была создана после Второй мировой войны странами-участниками антигитлеровской коалиции, новая организация, пришедшая на смену Лиге Наций, должна была предотвращать будущие войны. С 2011 года членами ООН являются 193 страны, почти все суверенные государства мира. В структуру
Мохаммед Али;PER;"Мохаммед Али (англ.Muhammad Ali); урождённый Ка́ссиус Марце́ллус Клей (англ.Cassius Marcellus Clay); 17 января 1942, Луисвилл, Кентукки, США — 3 июня 2016 года, Скоттсдейл, штат Аризона, США) — американский боксёр-профессионал, выступавший в тяжёлой весовой категории.";Муха́ммед Али́ (англ. Muhammad Ali, при рождении Ка́ссиус Марсе́ллус Клей — младший — англ. Cassius Marcellus Clay Jr., 17 января 1942 — 3 июня 2016) — американский боксёр-профессионал, выступавший в тяжёлой весовой категории, один из самых известных боксёров в истории мирового бокса. Чемпион XVII Летних Олимпийских игр 1960 года в полутяжёлой весовой категории, абсолютный чемпион мира в тяжёлом весе (1964—1966, 1974—1978). Обладатель звания «Боксёр года» (шестикратный — 1963, 1966, 1972, 1974, 1975, 1978) и «Боксёр десятилетия» (1960-е) по версии журнала «The Ring», стал вторым боксёром в истории, удостоившимся награды «Спортсмен года» по версии журнала «Sports Illustrated» (1974), был признан «Спортсменом
2015;ORG;Это случилось в 2015 году :;2015 (две ты́сячи пятна́дцатый) год по григорианскому календарю — невисокосный год, начинающийся в четверг. Это 2015 год нашей эры, 5 год 2-го десятилетия XXI века 3-го тысячелетия, 6 год 2010-х годов. Он закончился 9 лет назад. Год культуры России в Аргентине и Аргентины в России. Год литературы в России. Год молодёжи в Беларуси. Международный год света и световых технологий (резолюция Генеральной Ассамблеи ООН A/RES/68/221). Международный год почв (резолюция Генеральной Ассамблеи ООН A/RES/68/232). События См. также: Категория:2015 год Январь 1 января В Австрии проведена оценка численности населения в ночь с 31 декабря 2014 года на 1 января 2015 года. Литва перешла
16 Лебедя Bb;LOC;"16 Лебедя Bb, с помощью симулятора космического ""Celestia"".";16 Лебедя B b — экзопланета у звезды 16 Лебедя B в тройной системе 16 Лебедя. Находится на расстоянии около 69 св. лет от Солнца в созвездии Лебедя. Материнская звезда 16 Лебедя B является жёлтым карликом спектрального класса G1,5. Масса звезды составляет 0,97 массы Солнца, радиус — 1,2 радиуса Солнца. 16 Лебедя B b была открыта методом доплеровской спектроскопии в 1996 году. Характеристики 16 Лебедя B b является газовым гигантом массой 2,38±0,04 массы Юпитера. Планета, предположительно, является причиной более низкой металличности своей родительской звезды 16 Лебедя B по сравнению с её компаньоном 16 Лебедя A. Примечания Ссылки Lenta.ru: Прогресс Дрожь
Лацио;LOC;Лацио (итал. Lazio) — административный регион Италии площадью 17.210 км² и населением 5.890.000 человек (2015). Областной столицей является город Рим.;Ла́цио (итал. Lazio, лат. Latium) — административная область в Италии. Столица — город Рим. Физико-географическая характеристика 54 % территории — холмистая местность, 26,1 % — горы (Апеннины), 19,9 % — равнины. Климат мягкий, средняя температура в январе составляет +9—10°C, в июле — 24—25°C. Самая крупная река — Тибр. Есть выход к Тирренскому морю. Территорией Лацио окружено государство Ватикан. История Область Лацио расположена на месте древнего Лация и получила название от него. Долгое время область Лацио входила в состав и была центром Папской области. Административное деление Область Лацио включает 4 провинции и 1 метрополитенский город: Население Около 55 % населения области
Карлсон;LOC;Герой книг шведской писательницы Астрид Линдгрен.  Маленький толстый самоуверенный человечек. Имеет хитроумный моторчик, благодаря которому умеет летать. Сам он говорит о себе как о красивом, умном и в меру упитанном мужчине в цвете лет. Живёт в маленьком домике на крыше многоэтажного дома в Стокгольме. Лучший друг Карлсона — семилетний Малыш или Сванте Свантесон.  В Швеции фамилия Карлссон третья по распространённости. На российский лад его называли бы Сидоровым.  Карлсон часто берёт без спроса вещи, и платит за них монетками в 5 эре (русские 5 копеек).  Любимая присказка Карлсона — «пустяки, дело житейское», он говорит так, когда что-нибудь сломает или разобьёт.;Ка́рлсон (швед. Karlsson) — литературный персонаж, созданный шведской писательницей Астрид Линдгрен. Наряду с Малышом является центральным персонажем трилогии «Малыш и Карлсон, который живёт на крыше» (1955), «Карлсон, который живёт на крыше, опять прилетел» (1962), «Карлсон, который живёт на крыше, проказничает опять» (1968). Способен летать благодаря пропеллеру за спиной. Карлсон живёт в маленьком домике, спрятанном за большой дымовой трубой, на крыше многоквартирного дома в Стокгольме, в районе Васастан, где жила сама Астрид Линдгрен. Персонаж В Швеции фамилия Карлсон — третья по распространённости: в 2008 году был зарегистрирован 201 681 носитель этой фамилии. Поэтому название повести для шведа звучит примерно так же,
Джон Лассетер;PER;Джон Лассетер (англ.John Lasseter) — современный американский режиссёр анимационных фильмов, один из основателей студии Pixar.  Известен по таким фильмам, как:  Джон Лассетер одним из первых начал снимать анимационные фильмы, сделанные при помощи компьютеров. В 1995 году он впервые снял полнометражный фильм, полностью сделанный на компьютере (История игрушек).  Сыграл очень важную роль в продвижении фильмов своего друга Хаяо Миядзаки в Америке. Лассетер с большим уважением и безграничным восторгом относится к фильмам Миядзаки, с которым познакомился в 1987 году. Он снялся в нескольких документальных фильмах студии Ghibli.  В настоящее время снимает продолжение фильма История игрушек, премьера которого планируется на 2018 год.;Джон Алан Лассетер (англ. John Alan Lasseter, род. 12 января 1957) — американский аниматор и режиссёр (CCO) студий Pixar и Walt Disney Animation Studios, один из основателей студии Pixar. Является главным творческим советником Walt Disney Imagineering. Обладатель премии «Оскар». Биография Джон Лассетер родился в Голливуде, штат Калифорния. Мать Джона работала учителем рисования в средней школе «Bell Gardens». Отец — Пол Лассетер — заведовал складом у местного дилера Chevrolet. Рос Джон в городе Уиттер, штат Калифорния. Профессия матери Лассетера повлияла на его привязанность к анимации и мультипликации, а работа отца — на любовь и интерес к автомобилям. В детстве Джон много
Мао Цзэдун;LOC;Китайская марка 1950г. Иосиф Сталин и Мао Цзэдун пожимают руки;Ма́о Цзэду́н (26 декабря 1893, Шаошань — 9 сентября 1976, Пекин), также известный как Председа́тель Ма́о — китайский коммунистический революционер, основатель Китайской Народной Республики, которую он возглавлял в качестве председателя Китайской коммунистической партии с момента создания Китайской Народной Республики в 1949 году до своей смерти в 1976 году. Идеологически он был марксистом-ленинцем, его теории, военные стратегии и политика известны под общим названием маоизм. Мао был сыном зажиточного крестьянина в Шаошане, Хунань. В начале своей жизни он поддерживал китайский национализм и придерживался антиимпериалистических взглядов, особое влияние на него оказали события Синьхайской революции 1911 года и Движения Четвёртого мая 1919 года. Позже
Испания;ORG;Испания  47 105 275 Человек  Расположение Испании на карте Европы  Испания — страна в Юго-восточной Европе. Столица — город Мадрид.;Испа́ния (исп. España, МФА: [esˈpaɲa]), официально Короле́вство Испа́ния (исп. Reino de España, МФА: [ˈreino ðe esˈpaɲa]) — трансконтинентальное суверенное государство в Южной Европе, имеющее часть территорий в Африке (Канарские острова). По численности населения Испания 32-е государство в мире (47 493 088 человека на 8 февраля 2024 года). Состав населения Испании по вероисповеданию по состоянию на 2023 год: не практикующие католики — 37,5 %, практикующие католики — 18,5 %, атеисты — 14,9 %, агностики — 12,6 %, неверующие / безразличные к религии — 12,3 %, верующие в другую религию или конфессию — 2,7 %, не ответили — 1,5 %. Член Европейского
