text,class
"Lurrikara edo seismoa lurrazalak izaten duen mugimendu edo astinaldi indartsua da. Lurrazala hainbat plaka edo blokez eginda dago; plaka tektoniko deitzen diren horiek mugitzen dira, oso poliki, baina batzuetan talka egiten dute punturen batean batak bestearen kontra. Talka edo astinaldi bortitz hori Lurraren barruan gertatzen da, eta uhin batzuk sortzen ditu; uhin horiek hedatzen joaten dira, eta, lurrazalera iristean, lurrazala dardarka bezala hasten da. Lurrikara sortu den puntuari hipozentroa deitzen zaio. Hipozentroa Lurraren barruan egoten da. Hipozentroaren gainean lurrazalean dagoen puntuari, berriz, epizentroa deitzen zaio. Lurrikara bat gertatzen denean, batzuetan, kalte handiak eta hildakoak ere gertatzen dira epizentroan dauden hirietan eta haien eraikinetan; beste batzuetan, lurrikara itsasoan edo itsasotik hurbil gertatzen denean, olatu handiak sor daitezke, tsunami deitutakoak, eta horiek ere kalte handiak eragin ditzakete itsasertzaren kontra jotzen dutenean. Lurrikarek eragiten dituzten kalteak larriagoak izan daitezke gizakion erruz; izan ere, lurrikarak gertatzen diren lekuetan, eraikuntzetan ez bada ipintzen lurrikarak kalterik gabe jasan ahal izateko sistemarik, eraikin asko eror daitezke, eta orduan hil daitezke pertsona asko. Kontuan izan behar da plaken arteko haustura edo failak dauden lekuetan gertatzen direla lurrikarak. Zoritxarrez, horrelako failak dauden leku guztietan ez daude ondo prestatuta lurrikaren eragin kaltegarriei aurre egiteko. Lurrikarek sortutako uhinen indarra neurtzeko tresnak sismografoak dira. Bestalde, lurrikaren indarra eta ahalmen suntsigarria neurtzeko eskala batzuk ere erabiltzen dira; haien artean ezagunena Richterren eskala izenekoa da. Berez, Richterren eskalak 2,0 eta 6,9ko magnitudeen artean banatzen dute lurrikaren indarra; baina lurrikarak ikertzen dituzten zientzialariek (sismologoek) beste eskala bat ere erabiltzen dute, 10 artekoa. Horregatik, ez dago ondo batzuetan prentsan esaten dutena, alegia Richterren eskalan 7,5eko magnitudea duen lurrikara bat gertatu dela. Inoiz neurtu den lurrikararik indartsuena 1960an gertatu zen, Txileko Valdivia hirian: lurrikara hark 9,5eko magnitudea izan zuen. Txileko Lurrikara Handia deitu zitzaion, eta ez dago oso garbi zenbat hildako eragin zituen; 1.000 eta 7.000 bitartean izan omen ziren.",Easy
"Hiperbatona literaturan erabiltzen den baliabide edo figura erretoriko bat da. Hiperbatonaren kasuan, esaldiaren berezko egitura aldatu egiten da; esaldiaren barruko hitzak ezohiko moduan antolatzen dira helburu estetikoengatik edo indar espresibo handiagoa ematearren. Idazle klasikoek askotan erabiltzen zuten. Adjektiboen lekualdatzea da, adibidez, hiperbaton mota klasiko bat. Adibidez: Nintzen ari pilotan jolasten eta zineten zuek agertu orduantxe Jean Etxepare idazle lapurtarraren adibide honetan ere hiperbatona dago: “Behazue oinetarat: zola bera zilarrezkoa da, harri pikatuz balitz bezain zangoarentzat gogor"".",Easy
"Cristóbal Balenciaga Museoa Getaria herrian (Gipuzkoa) dagoen museo bat da; bertan, Cristóbal Balenciaga moda-sortzaile getariar ospetsuak egindako jantziak daude ikusgai. Museoa 2011ko ekainean ireki zuten. Museoaren webgunea hau da: www.cristobalbalenciagamuseoa.com",Easy
"Tokio Asiako hiri bat eta Japoniako hiriburua da. Munduan biztanle gehien dituen hiria da: 38 milioi pertsona bizi dira han, hain zuzen ere. Tokio Japoniako zentro politiko, ekonomiko eta kulturala da. Herrialdeko beste hirietan baino komunikabide-egoitza, finantza-instituzio, unibertsitate, ikastegi, museo, antzoki eta komertzio-gune gehiago dago. Hedadurari dagokionez, hiriak 2.187,08 km² ditu. Hirian zehar mugitzeko, tokiotarrek metroa eta trena erabiltzen dituzte. Gainera, Tokion bi aireportu ere badaude: Haneda eta Narita. Tokio hasieran Edo izeneko arrantzale herri txikia zen. 1457 urtean Ota Dokan samuraiak Edo Gaztelua eraiki zuen eta ordutik aurrera handitzen hasi zen. 1866 urtean Japoniako hiriburua bihrutu zen eta izena aldatu zuen. Tokio izenak ""ekialdeko hiria"" esan nahi du. Borroka-arteak dira jarraitzaile gehien dituzten kirolak. Beisbolak eta futbolak ere indar handia dute. Tokion bi aldiz antolatuko dira Olinpiadak, lehenengoa 1964. urtean eta bigarrena 2020. urtean. Kōkyo, jauregi inperiala. Sensō-ji tenplua. Ueno parkea. Tokyo Skytree. Tokioko Dorrea. Rainbow zubia. Akihabara. Munduko bidegurutze jendetsuena. Tokiotarrei katuak eta txakurrak gustatzen zaizkien arren, etxe txikietan bizi dira haietako asko, eta ez dute maskota izateko aukerarik. Horregatik, taberna batzuetan katuak eta txakurrak egoten dira, bezeroek laztan ditzaten.",Easy
"Plazenta hauxe da: ugaztunetan, umekiaren eta amaren arteko lotura egiten duen organoa. Plazenta haurdunaldiko bigarren astean hasten da sortzen, eta haurdunaldi osoan egoten da amaren sabelean. Umeki edo fetuak plazentaren bidez hartzen du arnasa, eta haren bidez elikatzen da. Hain zuzen ere, plazentatik sortzen da umekiaren sabeleraino doan zilbor-hestea.",Easy
"Ipar Amerikako lehen biztanleak 230 talde, tribu edo naziotan banatu ziren denborarekin. Talde haiek hizkuntza desberdinetan mintzo ziren, baita elkarren ondoan bizi zirenak ere. Baina elkarren auzo ziren taldeek antzeko bizimoduak izaten zituzten sarritan. Ipar Amerikako ekialdean, lehen amerikar haietakoak ziren irokesak, ipar-ekialdean, eta creekak, hego-ekialdean. Eskualde haietan, jendeak zuhaitzen azala eta adarrak erabiltzen zituen etxeak, armak, lanabesak eta kanoak egiteko. Arropa egiteko, berriz, oreinen eta beste animalia batzuen larruaz baliatzen ziren. Ehizan, arrantzan eta basa-landareak biltzen jarduten zuten. Artoa, kuiak, babarrunak eta tabakoa landatzen zituzten. Lautadetako indiarrak bisonteak zituzten batez ere bizibide. Ipar Amerikako erdialdeko lautada handietan, txeieneak eta siuxak bizi ziren, besteak beste. Lautadetako larreetan animalia saldo eskergak bazkatzen ziren, batez ere altzeak, oreinak, antilopeak eta bisonteak (bufaloak). Lautadetako indiarrek bisontetik ateratzen zuten behar zuten ia guztia. Haragia jaten zuten, larruaz tipiak eta arropa egiten zituzten, eta hezurrez, berriz, lanabesak. Pueblo indiarrak, navajoak eta beste talde batzuk hego-ekialde lehorrean bizi ziren. Herri haiek oso ur gutxi erabilita ikasi behar izan zuten laborantzan. Batzuek harriz eta adobez (eguzkitan egositako buztinez) eraikitzen zituzten etxeak. Beste batzuk babesleku soilagoetan bizi ziren. Gaur egun Kalifornia deritzon lurraldean, biztanle gehienak kostaldean bizi ziren, mendebaldean. Arrantzan eta ehizan aritzen ziren, eta talde batzuek ezkur-irina egiten zuten. Txumax-ek kupula formako etxeak eraikitzen zituzten, eta miwok-ek, berriz, behealdea lurpean zuten etxeak. Arro Handia izan zen xoxoneen eta beste herri batzuen bizilekua. Lurralde lehor hark gaur egungo Nevada eta Utah estatu iparramerikarrak hartzen zituen. Herri haiek nomadak ziren, hau da, batetik bestera ibiltzen ziren, janariaren atzetik; animalia txikiak ehizatzen zituzten, arrantzan egiten zuten, eta baiak, intxaurrak, haziak eta sustraiak biltzen zituzten. Eskualde haren iparraldean, Nez Percé, Flathead eta beste talde batzuk bizi ziren, eta gehienek arrantzan eta ehizan ateratzen zuten bizibidea. Neguan, herrixketan bizi ziren; udan, ostera, kanpadendetan –tipietan–, eta nomada ibili ohi ziren. Ipar-mendebaldeko kostan, egungo Kalifornia eta Alaskaren artean, talde asko bizi ziren; besteak beste, tlingit eta kwakiutl izenekoak. Eskualde hartako herriek itsasoan eta ibaietan egiten zuten arrantzan. Talde batzuek baleak ere ehizatzen zituzten. Etxe handiak eraikitzen zituzten, eta egurrezko kanoa sendoak. Chipewyan, cree eta beste herri batzuk lurralde subartikoetan bizi ziren. Inguru hori Artikoaren hegoaldean dago, egungo Kanadan eta Alaskan. Herri subartikoak karibuez, altzeez eta kastoreez elikatzen ziren. Haiek ere animalien larruak baliatzen zituzten kanpadendak eta arropa egiteko.",Easy
"Otsaila urteko bigarren hilabetea da. Normalean 28 egun izaten ditu, baina bisurteetan 29. Dena den, urteko hilabeterik laburrena izaten da beti, gainerako guztiek 30 edo 31 egun baitauzkate. Zalduondoko inauteriak (Araba) Markinako inauteriak (Bizkaia) Donostiako kaldereroak (Gipuzkoa) Agoitzeko inauteriak (Nafarroa).",Easy
"Polonia Europako ekialdeko herrialde bat da. Hiriburua Varsovia da. 2017an, 38 milioi biztanle baino gehiago zituen. Hizkuntza poloniera da eta erlijio hedatuena katolizismoa. Historian zehar, Poloniako mugak asko aldatu dira, eta, tarte batez, herrialde burujabea izateari ere utzi zion. Gaur egun, Alemaniatik ekialdera dago, eta, gainera, Txekiar Errepublika, Eslovakia, Ukraina, Bielorrusia, Lituania eta Errusiarekin du muga, eta iparraldean, Itsaso Baltikoarekin. Herrialdea gehienbat laua da, iparraldea batez ere; aldiz, hegoaldea menditsuagoa da. Eslovakiako mugan dauden Tatrak izeneko mendiek osatzen dute mendilerro garaiena. Poloniako ibai garrantzitsuenak Vistula eta Oder dira. Biak Itsaso Baltikoraino iristen dira. Klimari begiratzen badiogu, uda epela da Polonian, eta neguan, berriz, hotza eta elurra egiten du. Hau da, Ozeano Atlantikotik urrun dagoenez, klima kontinentala du. Herrialde honetan, nekazaritzak garrantzi handia du oraindik. Laborantza ohikoenak patata, garia eta azukre-erremolatxa dira; abeltzaintzan, berriz, txerri-azienda oso garrantzitsua da. Hala ere, industria, meatzaritza eta turismoa azkar ari dira indarra irabazten, nekazaritzak eta abeltzaintzak indarra galtzen duten bitartean. Idatziz gorde den Poloniako historia 900. urtean hasten da. Momentu hartan, Piast familia edo dinastiak lurralde haietan boterea lortu zuen eta XIV. mendera arte mantendu zuen. Herrialdea handituz joan zen, eta gaur egun Lituaniarenak, Hungariarenak eta Txekiar Errepublikarenak diren lurraldeetara iritsi zen. Gerra askotan sartuta egon zen Suedia, Errusia eta Turkiarekin. XVIII. mendean Errusiak, Prusiak eta Austriak herrialdea elkarbanatu zuten eta Poloniak 100 urtez independentzia galdu zuen. Baina, Lehen Mundu Gerraren ondoren, hiru herrialdeak asko ahuldu ziren eta 1918an Poloniak burujabetasuna berreskuratu zuen. Hala ere, Sobietar Batasunak (Errusia) eta Alemaniak beretzat jotzen zituzten Poloniako zati batzuk berreskuratzen jarraitu nahi izan zuten. Horregatik, 1939an, isilpeko hitzarmen bat egin zuten bien artean Polonia banatzeko. 1939ko irailean, Alemania naziak Poloniako ekialdea inbaditu zuen eta hori izan zen Bigarren Mundu Gerra piztu zuen gertakaria. Sobietarrek ekialdea inbaditu zuten, baina 1941ean alemanek herrialde osoa okupatu zuten. Bigarren Mundu Gerra bitartean, Varsovia, Poloniako hiriburua, suntsituta geratu zen, ia herrialde osoa bezala. Gainera, naziek 3 milioi poloniar judu baino gehiago erail zituzten. Herri juduaren aurkako Holokaustoa izenez ezagutzen da sarraski hori. 1945ean, errusiarrek Alemaniako armada kanporatu zuten, baina Poloniak ez zuen independentzia galdu. Hala ere, sobietarrek haien aldeko gobernu komunista ezarri zuten, 1989ra arte. Urte horretan, hainbat herri-matxinada gertatu ondoren, herrialdea libre eta demokratikoa izatera iritsi zen. Ondoren, 2004an, Polonia Europar Batasunean sartu zen. Poloniako hiri nagusiak Varsovia Krakovia hiria Wrocław hiria Poznan hiria Bufaloak daude Polonian",Easy
"Erlamandoak erle arrak dira; erle erregina baino txikiagoak dira, baina erle langileak baino handiagoak, eta abdomen zabalagoa dute; hegoak gorputza baino luzeagoak dituzte. Udaberrian jaiotzen dira eta ez dira luzaroan bizitzen: hiru hilabete besterik ez. Ez dute eztenik, ez dute argizaririk ekoizten, ez eta polenik biltzen ere. Erregina ernaltzea da haien egiteko bakarra. Hori egin eta gero, erle erreginak hil egiten ditu edota beste erleek ez diete erlauntzara sartzen uzten, elikatu beharrik ez izateko, eta, horregatik, gosez edo hotzez hiltzen dira. Erlamandoak ernaldu gabeko obulu batetik sortzen dira. Izan ere, erle erreginak bi motako arrautzak erruten ditu: ernaldu gabekoak (erlamandoak sortuko dituztenak) eta ernalduak (erle emeak sortuko dituztenak).",Easy
"Hego Korea ekialdeko Asiako herrialde bat da. 51 milioi biztanle ditu. Hiriburua Seul da. Seulen eta inguruko hirietan 25 milioi pertsona bizi dira, eta munduko metropoli eremu handienetako bat da. 2017tik Moon Jae-in da herrialdeko presidentea. Hego Korea Koreako penintsularen hegoaldean dago. Iparraldean muga du Ipar Korearekin. Ekialdean Japoniako itsasoa dago, mendebaldean Itsaso Horia, eta hegoaldean Koreako itsasartea eta Ekialdeko Txinako itsasoa. Luze-zabalean 99.720 kilometro koadro ditu. Herrialde menditsua da. Mendilerrorik garrantzitsuena Taebaek mendiak dira. Mendilerro hau ekialdean dago, kostaldetik oso hurbil. Mendebaldea zelaiagoa da, eta han bizi da jende gehiena. Nakdong da ibairik luzeena. Baenanggimi hondartza Hallasan mendia Te sailak 1945ean Bigarren Mundu Gerra bukatu zen. Ordura arte, Koreako penintsula osoa Japoniaren esku egon zen. Gerra eta gero, Estatu Batuek okupatu zuten hegoaldea eta Sobietar Batasunak iparraldea. Hegoaldea eta iparraldea ez ziren ados jarri herrialdea bateratzeko. Beraz, 1948an bi estatu sortu ziren: Koreako Errepublika, kapitalista, hegoaldean, eta Koreako Herri Errepublika Demokratikoa, komunista, iparraldean. 1950ean Ipar Koreak hegoaldea inbaditu zuen. Estatu Batuek laguntza militarra eman zioten Hego Koreari; Sobietar Batasunak eta Txinak Ipar Koreari. Koreako Gerrak hiru urte iraun zuen. 3 milioi pertsona hil ziren. Gerra ondoren, Hego Korea suntsiturik zegoen. Gainera, pobrea zen, baliabide gutxi zuelako; ez zuen, ez ikatzik, ez burdinik. Baina, astiro-astiro, oso industria modernoa sortu zuten. Denbora luzean, militarrek gobernatu zuten herrialdea, baina 1988tik demokrazia da.",Easy
