text,class
 Zoran Lilić foi um presidente da Jugoslávia.,Easy
" A eleição presidencial dos Estados Unidos de 2020 foi a 59ª eleição presidencial e foi realizada em 3 de novembro de 2020. O ex-vice-presidente Joe Biden e o senador da Califórnia Kamala Harris derrotaram o atual republicano presidente Donald Trump e atual vice-presidente Mike Pence, na chapa do Partido Democrata. Os eleitores selecionaram eleitores presidenciais que votaram em 14 de dezembro de 2020 para eleger um novo presidente e vice-presidente ou reeleger os incumbentes. Em 7 de novembro, Biden venceu a eleição e se tornou o presidente eleito dos Estados Unidos. Donald Trump, o 45º presidente, iniciou uma campanha para ser presidente por mais quatro anos nas Primárias republicanas. Várias organizações estaduais do Partido Republicano cancelaram suas primárias em uma demonstração de apoio à sua candidatura. Ele se tornou o indicado presuntivo em março de 2020.",Easy
 William Henry Gates III (nascido em 28 de outubro de 1955) é um empresário americano e co-fundador e presidente da Microsoft. Ele é a terceira pessoa mais rica do mundo atrás de Jeff Bezos e Elon Musk em patrimônio líquido em janeiro de 2021.,Easy
 A mecânica clássica é a parte da física que descreve como as coisas do dia-a-dia se movem e como seus movimentos mudam por causa de forças.,Easy
" William Shakespeare (23 de abril de 1564 — 23 de abril de 1616) foi um inglês dramaturgo, poeta e ator. Ele escreveu 40 conhecidas peças (com cerca de metade delas consideradas comédias) e dois longos poemas em sua vida. Ele morava em Stratford-upon-Avon, em Warwickshire, Inglaterra. Suas peças ainda são realizadas hoje. Ele é frequentemente citador na escrita moderna. Shakespeare escreveu suas obras entre aproximadamente 1592 e 1613. Suas peças estão entre as mais conhecidas da literatura inglesa e são estudadas em escolas de todo o mundo. Junto com a escrita, Shakespeare também atuou na companhia de atores The Chamberlain's Men, começando em 1594. Shakespeare escreveu peças de diferentes tipos, ou gênero. Existem histórias, tragédias e comédias. Shakespeare foi a primeira pessoa a escrever uma tragicomédia. (Uma tragicomédia é uma peça que mistura comédia e tragédia, com um final feliz.) As peças de Shakespeare são escritas em linguagem poética. Muitas das peças são ambientadas em lugares e tempos estranhos e distantes. As histórias costumam ser emocionantes, românticas e felizes (nas comédias) ou muito tristes (nas tragédias). Essas histórias fazem as pessoas quererem saber o que vai acontecer com os personagens. As peças falam sobre coisas que ainda são importantes hoje, como amor, tristeza, esperança, orgulho, ódio, ciúme e tolice . Shakespeare adicionou novas palavras e frases ao idioma inglês. Ele criou mais de 1.700 palavras em inglês. Ele também tornou algumas palavras mais populares.",Easy
 Minesota é um dos estados dos Estados Unidos,Easy
 Leopoldo III da Bélgica foi um monarca da Bélgica.,Easy
" Letónia é uma nação da Europa um dos três países bálticos, faz fronteira ao norte com a Estónia, a leste com a Rússia, a sudeste com a Bielorrússia, a sul com a Lituânia e a oeste com o mar Báltico.",Easy
" Paulo Dantas (nascido em 19 de março de 1979) é um político brasileiro, é o atual governador do Alagoas desde 2022.",Easy
" Guinness World Records é um livro de referência publicado a cada ano. Possui uma coleção de recordes mundiais, tanto das conquistas humanas quanto dos extremos do mundo natural. O livro em si detém um recorde mundial, como a série de livros com direitos autorais mais vendidos de todos os tempos. É também um dos livros mais roubados de bibliotecas públicas nos Estados Unidos.",Easy
 13 de julho é um dia.,Easy
" Alberto Santos Dumont (Palmira, 20 de julho de 1873 – Guarujá, 23 de julho de 1932) foi um aeronauta, esportista, autodidata e inventor brasileiro. É conhecido como ""pai da aviação"" por ter realizado o primeiro voo da história.",Easy
" Margaret, Condessa de Snowdon (nascida Margaret Rose; 21 de agosto de 1930 - 9 de fevereiro de 2002), era a única irmã da rainha Elizabeth II e a filha mais nova do rei Jorge VI do Reino Unido e da rainha Elizabeth, a Rainha-Mãe. Margaret nasceu em Glamis Castle, Escócia. Durante a década de 1950, ela estava em um relacionamento com Peter Townsend, que ganhou muita cobertura da imprensa esperando que eles se casassem, mas no final eles não se casaram. Em 1960, ela se casou com o fotógrafo Anthony Armstrong-Jones, que se tornou Conde de Snowdon. Eles tiveram dois filhos, David Armstrong-Jones, 2º Conde de Snowdon (nascido em 1961) e Lady Sarah Chatto (nascida em 1964). Depois que se divorciaram em 1978, ela ficou conhecida como princesa Margaret Condessa de Snowdon; a nova esposa do conde era simplesmente a condessa de Snowdon. Armstrong-Jones morreu em janeiro de 2017, quase 15 anos depois de Margaret. Sua vida posterior foi marcada por uma doença, ela sofreu um colapso nervoso na década de 1970 e em 1978 adoeceu enquanto visitava Tuvalu, o que resultou em tratamento hospitalar em Sydney, Austrália. Em janeiro de 1985, ela foi operada para remover parte do pulmão esquerdo e parou de fumar anos depois. Em janeiro de 1993, ela foi internada no hospital com pneumonia e em fevereiro de 1998, ela sofreu um leve derrame em sua casa de férias na ilha caribenha de Mustique. Um ano depois, no mesmo local, sofreu queimaduras nos pés em um acidente no banheiro que reduziu sua mobilidade e às vezes usava cadeira de rodas. Ela teve outros derrames no início de 2001 e suas aparições públicas tornaram-se menos frequentes. Por volta de janeiro de 2002, foi anunciado que a princesa Margaret foi internada no hospital. Ela morreu em 9 de fevereiro de 2002 de um acidente vascular cerebral no Hospital King Edward VII. Ela foi cremada para que pudesse ser enterrada ao lado de seu amado pai, Jorge VI do Reino Unido, na Capela de São Jorge. Sua mãe, a rainha Elizabeth, a rainha mãe, sobreviveu a ela por um mês, ela morreu em 30 de março de 2002 aos 101 anos e também foi enterrada na Capela de São Jorge.",Easy
 Eleições gerais no Brasil em 1912 foi uma época de eleições gerais que aconteceu no Brasil.,Easy
" São Paulo é a capital do estado de São Paulo, Brasil. É a maior cidade do Hemisfério Sul.",Easy
" Amiens é uma cidade localizada no norte da França , a 130 quilômetros de Paris . É atravessado pelo Somme .",Easy
 Kiss and Make Up é uma canção do grupo sul-coreano Blackpink.,Easy
" A ficção científica é o tipo de gênero de ficção especulativa que lida com conceitos imaginativos e futuristas, como ciência e tecnologia avançadas, exploração espacial, viagens interestelares, universos paralelos e vida extraterrestre .",Easy
 A contagem de artigos no espaço enciclopédico depende de como ela é conduzida.,Easy
" Daniela Abravanel Beyruti (nascida em 11 de julho de 1976) é uma empresária brasileira, ela é filha do apresentador Sílvio Santos.",Easy
" 1721 (MDCCXXI, na numeração romana) foi um ano comum do século XVIII.",Easy
" Mazagão (Amapá) é um município do Brasil, localizado no estado do Amapá. Erro Lua em mw.title.lua na linha 318: bad argument #2 to 'title.new' (unrecognized namespace name 'Portal').",Easy
