title;entity;Vikidia;Wikipedia
Bulbasaur;MISC;Bulbasaur is a Pokémon, it weighs 6.9 kg and measures 70 cm. It has an enormous bulb on its back. It resembles a small turtle without a shell. The bulb will become an enormous flower as;Bulbasaur is a Grass/Poison-type Pokémon species in Nintendo and Game Freak's Pokémon franchise. Designed by Atsuko Nishida, Bulbasaur debuted in Pocket Monsters: Red and Green (Pokémon Red and Blue outside Japan) as a starter Pokémon. Since then,
Richard II of England;PER;King Richard II of England  Richard II of England (6 January 1367– February 1400) was King of England from 1377 until he was deposed on 30 September 1399. Richard was a son of Edward, the Black Prince. Richard rose to the throne at the age of ten. During his first years as king, government was in the hands of a series of councils.;Richard II (6 January 1367 – c. 14 February 1400), also known as Richard of Bordeaux, was King of England from 1377 until he was deposed in 1399. He was
Sand cat;LOC;Wild sand cat in Iran.  Sand cat, also known as sand dune cat (scientific name : Felis margarita) is a small felid, a close relative to the cat.;The sand cat (Felis margarita) is a small wild cat that inhabits sandy and stony deserts far from water sources. With its sandy to light grey fur, it is well camouflaged in a desert environment. Its head-and-body length ranges from 39–52 cm (15–20 in) with a 23–31 cm (9.1–12.2 in) long tail. Its 5–7 cm (2.0–2.8 in) short ears are set low on the sides of the head, aiding detection of prey moving underground. The long hair covering the soles of its paws insulates its pads
Spinosaurus;MISC;The Spinosaurus was an extinct Dinosaur that had lived during the Cretaceous period, about 112 million years to 97 million years ago. They are the largest carnivorous dinosaurs, even bigger than the Tyrannosaurus and lived in the;Spinosaurus (, lit. 'spine lizard') is a genus of spinosaurid dinosaur that lived in what now is North Africa during the Cenomanian to upper Turonian stages of the Late Cretaceous period, about 99 to 93.5 million years ago. The genus was known first from Egyptian remains discovered in 1912 and described by German palaeontologist Ernst Stromer in 1915. The original remains were destroyed in World War II, but additional material came to light in the early 21st century. It is unclear whether one or two
The Sound of Music;MISC;Julie Andrews (about 1965) played Maria in the 1965 movie The story is set in Salzburg, Austria just before World War II. Maria wants to be a nun, but she becomes governess to Captain von Trapp's several children. She falls in love with the children and with their father. Captain von Trapp and Maria marry. The Nazis want to use Captain von Trapp in their plans. To escape;The Sound of Music is a musical with music by Richard Rodgers, lyrics by Oscar Hammerstein II, and a book by Howard Lindsay and Russel Crouse. It is based on the 1949 memoir of Maria von Trapp, The
Orchestra;ORG;"The Dohnanyi Orchestra performing. The conductor of this orchestra has the second violins on his right. The double basses are at the back, according to the German layout An orchestra is a group of musicians playing instruments together. They usually play classical music. A large orchestra is sometimes called a ""symphony orchestra"" and a small orchestra is called a ""chamber orchestra"". A symphony orchestra may have about 100 players, while a chamber orchestra may have 30 or 40 players. The number of players will depend on what music they are playing and the size of";An orchestra (, OR-ki-strə) is a large instrumental ensemble typical of classical music, which combines instruments from different families. There are typically four main sections of instruments: bowed string instruments, such as the violin, viola, cello, and double bass woodwinds, such as the flute, oboe, clarinet, and bassoon (occasional saxophone) brass instruments, such as the horn, trumpet, trombone, cornet, euphonium, and tuba percussion instruments, such as the timpani, snare drum, bass drum, cymbals, triangle, tambourine, tam-tam and mallet percussion instrumentsOther instruments such as the piano, harpsichord, and celesta may sometimes
Mount Everest;LOC;Mount Everest is the highest mountain in the world. It is located between Nepal and Tibet (part of China) in the Himalayas. Mount Everest is 29,029 feet (8,848 meters) high.[1]  You need a cylinder of gas because the air is so thin. Mount Everest is growing every year, about one centimetre every year.;Mount Everest (Nepali: सगरमाथा, romanized: Sagarmāthā, Standard Tibetan: ཇོ་མོ་གླང་མ, romanized: Chomolungma, Chinese: 珠穆朗玛峰, pinyin: Zhūmùlǎngmǎ Fēng) is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas. The China–Nepal border runs across its summit point. Its elevation (snow height) of 8,848.86 m (29,031 ft 8+1⁄2 in) was most recently established in 2020 by the Chinese and Nepali authorities.Mount Everest attracts many
Barbie;PER;Barbie is best known as a toydoll. Starting as just a doll, Barbie became a brand. It is most common in the United States. It is named after a girl named Barbara. Barbara was the toy maker's daughter. Though the brand is most famous for the doll, other merchandise has been created with the Barbie name such as games, movies, videos, clothing, accessories, and books. The clothes and fashion accessories allow girls a taste of high fashion. Throughout the decades, Barbie has reflected and encouraged feminine growth in the workplace in the United States and been a miniature;Barbie is a fashion doll created by American businesswoman Ruth Handler, manufactured by American toy and entertainment company Mattel and introduced on March 9,
David Copperfield;PER;Cover for the serial  David Copperfield is a coming of age novel by Charles Dickens. It was first published in serial format in 1847-1848. It was published in book format in 1850. The novel follows Copperfield's life from birth to middle age. It was Dicken's own favorite of all his novels. Famous characters include Mr. Micawber, Pegotty, Li'l Emily, Mr. Murdstone, Dora Spenlow, and Steerforth. The story has been the basis for numerous movies and plays.;David Copperfield is a novel by Charles Dickens, narrated by the
La Scala;ORG;Nineteenth century picture of La Scala  La Scala (officially, Teatro alla Scala) is an opera house in Milan, Italy. It is one of the most famous opera houses in the world. It was built in 1778 after a fire destroyed the existing theatre. Its stage is one of the largest in Italy (16.15m d x 20.4m w x 26m h). Many of the greatest operas have had their first performances at La Scala.;La Scala (UK: , US: , Italian: [la ˈskaːla], officially Teatro alla Scala [teˈaːtro alla ˈskaːla], lit. 'Theatre at the Scala') is a historic opera house in Milan, Italy. The theatre was inaugurated on 3 August 1778 and was originally known as il Nuovo Regio
