Value;Language Pair
[0.24597071241975452, 0.2869411732411148, 0.33125158796086906, 0.3897236691042781, 0.4461763481919964, 0.5036801617095867, 0.552123990568022, 0.5626755554229022, 0.5715469518800577, 0.5608379429734002, 0.5542713342638066, 0.5550657892863576, 0.5193435640252816];en-ru
[0.39199699502438307, 0.42455834195017816, 0.46428563088178637, 0.5177237343291442, 0.5612613638242085, 0.5996429001291593, 0.6394542774558067, 0.6481194269657135, 0.651277440438668, 0.6488225685618818, 0.6347399824361006, 0.6229379623010755, 0.5776842068787664];en-fr
[0.12837821015962012, 0.1542180702610252, 0.1804757591080852, 0.23389002569019796, 0.27524066030979155, 0.3091451098707815, 0.33927260054896274, 0.34268678147151754, 0.3472273680565801, 0.35713275004449924, 0.35039890402685464, 0.35466280455080174, 0.3179514857154572];en-hi
[0.18926303732829788, 0.2192649099541207, 0.2538144773912306, 0.30836523552735645, 0.3649460322658221, 0.4267713700731595, 0.4800657630960147, 0.4952014805873235, 0.5072802980492512, 0.5054821598653992, 0.4958239484128232, 0.49076263784896584, 0.44755542593988745];en-ar
[0.25596850747863453, 0.30286616303647557, 0.3475013957420985, 0.40907277901967365, 0.4671556882560253, 0.5212779033184052, 0.5607527151207129, 0.5651081101223826, 0.5637209690238039, 0.546586176995188, 0.538103798761343, 0.5329872606104861, 0.49611885426255564];en-ru
[0.384605873413384, 0.4242942369853457, 0.4670444352676471, 0.5227562421560288, 0.5681050195793311, 0.6054386868079503, 0.6412084297835827, 0.6484995073576768, 0.6486750633517901, 0.6394425415674535, 0.6279299102847775, 0.6153556586483804, 0.5753348187046746];en-fr
[0.1340033101569861, 0.15944578047686567, 0.18676092305375883, 0.24134006023872645, 0.28153881314831475, 0.3154745843327449, 0.3395368998121315, 0.34162691481721896, 0.3486032018604844, 0.36360832713001096, 0.3654079279313252, 0.37994625203078614, 0.33652582321005564];en-hi
[0.1922406687005423, 0.22332638817528883, 0.26071311086416243, 0.316832985530297, 0.3728376910090446, 0.4321929053465525, 0.4797801067431768, 0.49076387837529184, 0.49661106689367446, 0.48299629416006307, 0.4708592377665142, 0.46571290044424435, 0.41740031355371077];en-ar
[0.24973541625464957, 0.29572472435732683, 0.3379603948195775, 0.3984835090736548, 0.45548062498370806, 0.5104979465901852, 0.5536279828846454, 0.5587926262368759, 0.5648546370138259, 0.5609599416640898, 0.5556243927060859, 0.553553934606413, 0.5216059837536886];en-ru
[0.4007643167922894, 0.4401644230633974, 0.4810067996382713, 0.5346276986102263, 0.5773907320698103, 0.6122653418779374, 0.6452665740748247, 0.6521211242179076, 0.6545211269458135, 0.6514776481005052, 0.6423468818763892, 0.6305390596638123, 0.5930807617492974];en-fr
[0.12889698357340726, 0.15965823089315867, 0.18681441345407318, 0.24118442199745915, 0.2826454074991246, 0.3191312540850292, 0.34925879213648536, 0.35667386908316984, 0.3695536272324777, 0.38435501755377727, 0.38142019625287504, 0.3885465422396859, 0.3503079857234843];en-hi
[0.19913337826728822, 0.2249144426189984, 0.25996205206339557, 0.3138991755743821, 0.36955160796642306, 0.43048026248812676, 0.4853862331310908, 0.5021721371014913, 0.5138388721396526, 0.509241780526936, 0.4998100399474303, 0.4914306786082064, 0.445716522053505];en-ar
[0.25115012818326554, 0.2976066987961531, 0.34349739480763675, 0.40573265629510086, 0.4609959828853607, 0.5179899742205938, 0.5589816969633102, 0.5662141501406829, 0.5771224707116683, 0.5647915862190227, 0.5550146867784982, 0.5500616406835616, 0.5132390848632592];en-ru
[0.3865786744405826, 0.42510809044043224, 0.46814370349049567, 0.5260877128938833, 0.5659771939615409, 0.6014090403914452, 0.6338700705766678, 0.642481836527586, 0.6479409615260859, 0.6353375879923503, 0.6262574720258514, 0.6131808145049339, 0.5823833195927243];en-fr
[0.13270755209145135, 0.16012767709131973, 0.18733737553081786, 0.242203121787558, 0.28561563627173503, 0.32490630730986597, 0.35524215165525674, 0.355843860997508, 0.357707551404989, 0.35925395296110463, 0.35748562294495057, 0.36411565456626704, 0.33280044942628595];en-hi
[0.19722896452372274, 0.22622682206332684, 0.2623105187093218, 0.31954654162128765, 0.37345113019148507, 0.4356856892009576, 0.4835710903008779, 0.4977341872950395, 0.5090145124060412, 0.495751250924853, 0.4914352334321787, 0.4862691679379592, 0.4429369097606589];en-ar
