Value;Language Pair
[0.34130583982914686, 0.42629433147609236, 0.48983025014400483, 0.547738042746981, 0.6117467470467091, 0.6741547956566016, 0.7070378033816814, 0.6908436141659816, 0.7003708261003097, 0.6982687805841367, 0.6922407603170723, 0.6810866133292438, 0.7114346191684793];en-ru
[0.540276766543587, 0.5879319523895781, 0.6345619766289989, 0.6802129569898049, 0.7274512593448162, 0.7695341797173023, 0.7903530133763949, 0.779979109664758, 0.7875663121541341, 0.7881859187036753, 0.7850055787215631, 0.7681102169607766, 0.7737038385992249];en-fr
[0.1973378237225067, 0.2404752764524892, 0.2835800136687855, 0.3452741369480888, 0.4000618028640747, 0.4620714436781903, 0.49891261782497165, 0.48084645039809404, 0.48647050893865523, 0.4990603353828192, 0.5084495408739894, 0.5243165538363004, 0.583110896984969];en-hi
[0.29380440164357424, 0.3583798959137251, 0.40824085513750713, 0.46957593858242036, 0.5342707222451767, 0.6014501640200615, 0.6337724378208319, 0.6160031692435344, 0.6160042323668797, 0.6075559793133773, 0.6078956565074622, 0.6120311996090458, 0.6631744933417455];en-ar
[0.3524111344044407, 0.44184475649148225, 0.5026781504849592, 0.5571956329792738, 0.6174537823845943, 0.6802937517563502, 0.712842546304067, 0.6950269366800785, 0.7007409307609002, 0.6958010268335542, 0.6850493699250122, 0.67012121231528, 0.6871267143239189];en-ru
[0.5493197957923015, 0.6028560179720323, 0.6488301946222782, 0.6898509182035923, 0.7310979628562927, 0.7704181882739067, 0.790305775453647, 0.7795734261969726, 0.7852407635003328, 0.7846708244333664, 0.7789718770398758, 0.7692689368749658, 0.7831848503913109];en-fr
[0.19887852602172643, 0.25010367296325664, 0.29168992685774964, 0.3515453379645866, 0.40271030365489424, 0.46120568696254244, 0.49272391185785336, 0.4722265761780242, 0.47767805473413316, 0.48624904740058505, 0.4959936389198992, 0.5101982856776643, 0.5680081443553232];en-hi
[0.29928730038926005, 0.3680457868675391, 0.4162522752955556, 0.4779679152121146, 0.5437183861434459, 0.6106046273807685, 0.6412244947006305, 0.622184878885746, 0.619998967970411, 0.6111165577669938, 0.6094679888613367, 0.6111123585960982, 0.6652708016083732];en-ar
[0.3584383820742369, 0.4411001015454531, 0.5036074002832174, 0.5588751565416654, 0.6210458601017793, 0.6816427552700043, 0.7119949358205001, 0.6954233932495117, 0.7024951852858067, 0.697179251058648, 0.6879689386487007, 0.6746540746616665, 0.7030085481179412];en-ru
[0.5540629204610984, 0.6053939693172773, 0.6503765851259231, 0.6928040829797586, 0.7359971137841542, 0.7749608299136161, 0.793787016471227, 0.7829507525761922, 0.7871844960252444, 0.7871351838111877, 0.7801574883237481, 0.7671905923355371, 0.7780008121533319];en-fr
[0.20485247103497387, 0.25263091826500994, 0.29606032761434714, 0.35680870139350496, 0.4100367142880956, 0.4669580139266327, 0.5003823028194407, 0.48021461485807476, 0.48538973545112335, 0.49527340000805753, 0.503725645748782, 0.515669376483808, 0.5700444594912308];en-hi
[0.30544330428975325, 0.36980985254049303, 0.4202259323745966, 0.4821377699325482, 0.5490290993452072, 0.6153635111451149, 0.6457515698671341, 0.6256051571667194, 0.6226113916685184, 0.610451998624485, 0.604668893739387, 0.6031180571411581, 0.6604149632217984];en-ar
[0.34294693352965017, 0.4324190327276786, 0.49651266989608606, 0.5504783285409212, 0.614971121052901, 0.6777101468543212, 0.7105736828347047, 0.6959939795732498, 0.7043944588055213, 0.6980947784303377, 0.6873052030988037, 0.6710273112746654, 0.6974686176849839];en-ru
[0.5376188306999393, 0.5942916736627618, 0.6394830544417103, 0.6825737287849187, 0.7291988123456637, 0.7715195602178574, 0.7916861620545387, 0.7822797925770283, 0.7903865608076255, 0.7902889034400383, 0.7823518655821681, 0.7644906112536167, 0.778285496122359];en-fr
[0.1918508820068867, 0.24284197700986018, 0.28718521937107044, 0.34774385509081185, 0.4010135805482666, 0.46185314158909024, 0.49308606893600276, 0.47203482513160755, 0.4780151461635251, 0.4893455944986393, 0.4976455114230824, 0.5065369273163378, 0.551129657898952];en-hi
[0.288828309251694, 0.36001454380961756, 0.41041817888617516, 0.4723265691598256, 0.539119937022527, 0.6083356799185275, 0.6398411473383506, 0.6243720036248366, 0.6249614714086056, 0.6165456603250156, 0.6139266153450201, 0.6150738267471509, 0.6681222974780636];en-ar
[0.3603642269099752, 0.44691480533530314, 0.5084212850375722, 0.5629444726626389, 0.6252715913640956, 0.6852582973676423, 0.7149532399202386, 0.6994116753153503, 0.7064844546963771, 0.7013398344566425, 0.6935789913622041, 0.6789812087236593, 0.7096556741356229];en-ru
[0.5520265576988459, 0.6054412259161472, 0.6519152061641216, 0.694323906203111, 0.7388748920957248, 0.7790289962788423, 0.7980195181568464, 0.7886577403048675, 0.7961323205133279, 0.795515470256408, 0.7886625996977091, 0.7685636251155908, 0.7689789490716066];en-fr
[0.21131329458439724, 0.26068640195764603, 0.30363362378130354, 0.36455205155691756, 0.41732983832557996, 0.47276190979406235, 0.5017165141079992, 0.47987233955335495, 0.4865710156504065, 0.49791058111858244, 0.5089596033166163, 0.5250877604307607, 0.5815073207426273];en-hi
[0.3070268996952412, 0.3717170046021541, 0.4221721820781628, 0.4849686328942577, 0.551604992672801, 0.6161909713347753, 0.6472593776881694, 0.6283623807877302, 0.6273348231365283, 0.6174114600444833, 0.6121343830646947, 0.6098795851533456, 0.6622125710157464];en-ar
[0.3595317955190937, 0.44298383322854834, 0.5033343353122472, 0.5564868237574895, 0.6165640149017175, 0.6794908764461677, 0.7119227062662442, 0.6966900467375914, 0.7041825798153877, 0.6995231936872005, 0.6871750893614565, 0.6661162851776073, 0.6899501900651376];en-ru
[0.5603866407523552, 0.6090637545535962, 0.652761537929376, 0.6935898452500502, 0.7349491926034292, 0.7753355937699477, 0.7935668741166592, 0.7838807851572831, 0.7904594734807809, 0.7903702506795526, 0.7813460065238178, 0.763160330549969, 0.7604830476175993];en-fr
[0.20500315362995025, 0.25376727301152036, 0.29733932078893605, 0.3572454068188866, 0.40811322471747796, 0.4690754104917869, 0.5021221726915489, 0.48302203860366716, 0.48979802209883927, 0.5011206186605462, 0.5115840994520113, 0.5214190256777995, 0.5831127255689352];en-hi
[0.3135005386872217, 0.3768833730990688, 0.4235434194405874, 0.4842242792248726, 0.5495477069914341, 0.6174105576425791, 0.6479284560928742, 0.6288133645306031, 0.6287655116120974, 0.621485646784616, 0.6236586147298415, 0.6319077756380042, 0.6868774139337862];en-ar
[0.36601095765829084, 0.4496684993182619, 0.5116490586350362, 0.5653836594521999, 0.6258611769974232, 0.6879742816090584, 0.7175872616966565, 0.7032205533236265, 0.7102090773483117, 0.7052913490186135, 0.6934808607958257, 0.6751070118808032, 0.703026391841316];en-ru
[0.5640589567025502, 0.6145761318008105, 0.6603049508233865, 0.7016267643372218, 0.7439571793874105, 0.7820870754122734, 0.8003856340050697, 0.7906511349479357, 0.7969773050645987, 0.7941827618579069, 0.7843391127542904, 0.7683218713601431, 0.7757276977660755];en-fr
