Value;Language Pair
[0.6377542525590979, 0.4057139193592593, 0.43216170223410394, 0.4420586398880308, 0.5504389958864098, 0.6149220524371292, 0.6360034789963781, 0.6461375099253686, 0.6444563450431451, 0.6435056793445255, 0.7030688722711056, 0.7049416136405974, 0.7960846219483453];en-ru
[0.6846325740876819, 0.5061280337779317, 0.5098668518972893, 0.5093697220634203, 0.6243027181834138, 0.6936565090805137, 0.70967803475447, 0.7096571391145698, 0.700498340499665, 0.6993943914705111, 0.7531669098076721, 0.7544108485383912, 0.8281078438755746];en-fr
[0.6166087315323435, 0.35485431511886417, 0.36015246431537284, 0.3838010906765703, 0.46402158444087643, 0.6011451326535704, 0.6399197365801471, 0.6506600907522564, 0.6471812504444097, 0.6384011793276295, 0.7075814466744972, 0.7073287844766553, 0.793441723981717];en-hi
[0.6142826024644212, 0.3247894519154215, 0.36442041262033553, 0.3845666542556137, 0.5376720764464699, 0.638850772290025, 0.6727948539238423, 0.6764974050866052, 0.6590759688367446, 0.6579999563532571, 0.7060194828578581, 0.706248134841832, 0.7831431409685562];en-ar
[0.6276396005375621, 0.3970753440819681, 0.43621019829452656, 0.44580181086591136, 0.5495347172526333, 0.614920605673251, 0.6394054616714129, 0.6545936360022946, 0.6601144124412288, 0.6561048593115992, 0.7222787795014058, 0.7227070412264827, 0.8034765417082235];en-ru
[0.6661321941363471, 0.5028137493619579, 0.5074536701881637, 0.5127663807151839, 0.6064060402444253, 0.6767915441615817, 0.7062070243324463, 0.7200407291591788, 0.7126525997787636, 0.7131760432366476, 0.7583803037975061, 0.7635034742082158, 0.8323188447191691];en-fr
[0.6074107711343095, 0.35786850556517796, 0.3564369473649034, 0.38333922595872233, 0.4529229259234853, 0.5968940667179413, 0.6483586270303932, 0.6700603999034501, 0.6582963809706659, 0.6524620263072817, 0.7075886500174723, 0.7025181512457008, 0.7916280686560397];en-hi
[0.6003321902721654, 0.32724544049114535, 0.36636841464195946, 0.39189973327253635, 0.5231113811512478, 0.6124736217207586, 0.6513301734812558, 0.6666676711527786, 0.6523936131474329, 0.649812401834206, 0.7013464627077337, 0.7120959567635631, 0.7729058767622337];en-ar
[0.6291526482075763, 0.41607948681805285, 0.44342490982147864, 0.4516009102327128, 0.5664324673983113, 0.6268514993445327, 0.6431940859379635, 0.6595723188346407, 0.6592533969149614, 0.6499222503307586, 0.6984653302456718, 0.6970896281759875, 0.7989825578344365];en-ru
[0.6674911059619626, 0.5092626234573739, 0.5030528765641308, 0.5189288101329779, 0.6177387183601483, 0.6748055322708387, 0.6850368894430964, 0.6858992762834533, 0.6749402158041873, 0.6650541127779677, 0.7211933758316446, 0.7250933321708969, 0.8116586421635777];en-fr
[0.6092256647783021, 0.36280018879449927, 0.36066757905558916, 0.38147092840255936, 0.46098603351973, 0.6045204428391299, 0.6478017454314977, 0.669041244215914, 0.6591378421639092, 0.6491196011698533, 0.6989758050084734, 0.6962008181214333, 0.7750036223285133];en-hi
[0.6160680732107722, 0.3215010813542176, 0.36475155669429415, 0.38734770824584, 0.5341546537261457, 0.6269510028839189, 0.6639108769704277, 0.67426699520632, 0.6530078597687619, 0.642455598541225, 0.6963311863333608, 0.7024608601311532, 0.7928502122095475];en-ar
[0.6326458286753041, 0.40632908838180204, 0.44406919383366283, 0.45087970858906073, 0.5867266391473822, 0.6484783676705168, 0.6577619521560458, 0.6587340997555293, 0.6542328929357851, 0.646578065053327, 0.7112839322645838, 0.7120045354098935, 0.8043746779424449];en-ru
[0.6690734729628699, 0.5082651999600543, 0.5090806168385704, 0.5197753434798991, 0.6575813799446526, 0.7111906334478408, 0.7168893830439387, 0.7054095750864993, 0.6925375225802418, 0.6913043769697348, 0.7504055509987908, 0.7531428810255602, 0.8237561663876598];en-fr
[0.6078835408032561, 0.36212564466880093, 0.3634864501148695, 0.3890676576504484, 0.47702142292206795, 0.6051216431280287, 0.6449037551054789, 0.6585803081273722, 0.6487007888802327, 0.6381623517705157, 0.7133703004578517, 0.7185377469581241, 0.7907810182364968];en-hi
[0.6138367875838109, 0.32871322583019114, 0.36930015945976874, 0.3977794012039279, 0.5507918309054124, 0.6268421718580066, 0.6563640337856487, 0.6597771786931359, 0.6468272133466477, 0.6478001517072941, 0.7102525020608058, 0.7159544613759499, 0.7925855230043332];en-ar
[0.6241177922968443, 0.40890526367826774, 0.4310276711427529, 0.4515438367015061, 0.5587745110574178, 0.6371869592453974, 0.6527715262679461, 0.6607555406431977, 0.6618332972416344, 0.6545041208784096, 0.7052148041392987, 0.6945622074159231, 0.8045956839861659];en-ru
[0.6700132692812865, 0.5091067885382411, 0.5043460745667108, 0.5090026516721142, 0.6166567680736382, 0.6780484558509973, 0.6956755749578588, 0.6934282264109546, 0.681811831156568, 0.6662777684768662, 0.738679940594205, 0.7405820876499638, 0.8282303756265901];en-fr
[0.5954837214855555, 0.3613924078119453, 0.36076794600269446, 0.3862226716853911, 0.4726079186804903, 0.6110179606918246, 0.6536001605424099, 0.6680418399329452, 0.6596035941197381, 0.6488330864557065, 0.7069251947399849, 0.7074460851540789, 0.778963713888079];en-hi
