Value;Language Pair
[0.023830124199385398, 0.016326408421709286, 0.0167214368066741, 0.014033781116756305, 0.012636204372699312, 0.012934898467448363, 0.019033519211599122, 0.02379087134641109, 0.02908191910171919, 0.03280534994653222, 0.04005421584335717, 0.03619904103680096, 0.008441122697006037];en-ru
[0.008403552101390694, 0.00978907411339485, 0.010949348634319327, 0.010660810018027019, 0.010042020707711622, 0.013271740576876068, 0.019166939563129745, 0.024728791599937183, 0.0308593169134079, 0.033051819015796846, 0.043440236405462324, 0.04080189759753843, 0.010296670499020616];en-fr
[0.03504736642260919, 0.03874399833391996, 0.024426347009633767, 0.01847423340085779, 0.014962124056108974, 0.007622140808028856, 0.008540911946563739, 0.019290457278436722, 0.028359574952866812, 0.03259186241959741, 0.05378101949983842, 0.06026574870843245, 0.012327460826985437];en-hi
[0.013967112301252766, 0.024274971357621626, 0.013972531527739297, 0.007417488255823228, 0.005875124971611483, 0.004621880227241546, 0.009476990483934931, 0.02222643917798536, 0.03928765951650813, 0.056435516107244926, 0.0948947807115364, 0.08928054195066994, 0.04490990745501049];en-ar
[0.02321298286932652, 0.01535682836544592, 0.01530721386350176, 0.01316623488453453, 0.011511128328214491, 0.012004135592287427, 0.01783315920349927, 0.022512126846423536, 0.028409311406790348, 0.03238982363381842, 0.04084786064805917, 0.0363056169870625, 0.007896344220106388];en-ru
[0.007479868833454194, 0.008980660006585862, 0.009810228094321334, 0.009576615892648797, 0.00892255819945431, 0.012120459204927445, 0.017758625648447643, 0.02326133548828127, 0.029968085175032716, 0.03211370064744331, 0.04310071935288331, 0.04017345395469176, 0.009930179915725437];en-fr
[0.03528236094576732, 0.039908772161850174, 0.025613149305755957, 0.018985526817936697, 0.01549335163704839, 0.008642872974317829, 0.006680814747059968, 0.016855530157252618, 0.025850199930967658, 0.03019134071114492, 0.052301488818469126, 0.058995585104687234, 0.01221319422497903];en-hi
[0.015391313401546055, 0.02631635752099139, 0.015752422643473478, 0.00806721625269865, 0.006568719689395566, 0.004050849505836082, 0.007485261105950266, 0.020094993045362324, 0.03658707478988537, 0.054650352052593935, 0.09292023470807989, 0.0866894051819407, 0.04180707355377942];en-ar
[0.02307245210340341, 0.015742263701600496, 0.016070513391258996, 0.013486178294009653, 0.011916514596219391, 0.012518336328860381, 0.018768258188097017, 0.02365156262751039, 0.029535770558947932, 0.03313179210586205, 0.03964600456205304, 0.03385056896088372, 0.005359425510204815];en-ru
[0.008393007417546349, 0.009518504161702523, 0.01029595260794617, 0.009949519507196105, 0.009429600068248351, 0.012573233573748163, 0.018307071611790456, 0.02425677807350364, 0.030175267833621122, 0.03275906751082153, 0.04294398491312973, 0.03925956408460126, 0.007665497013150444];en-fr
