Value;Language Pair
[0.023353835124999264, 0.01240456036357924, 0.014620819356287344, 0.013810232623834727, 0.009344453607143812, 0.009110824832787363, 0.013493339545870443, 0.015351230511196984, 0.022102975157855354, 0.0309155189145428, 0.029433060987223685, 0.03353371191422513, 0.020036425382850057];en-ru
[0.012743282227011175, 0.010615561785483183, 0.007332313209742781, 0.00466292077771559, 0.0028005634905765163, 0.006046862519720115, 0.00834958124729333, 0.010641189903049776, 0.014499896838196013, 0.02173021034076379, 0.024367779246547618, 0.030411380473089368, 0.022394030492863516];en-fr
[0.025214438225679568, 0.03530023291334028, 0.02171839099631237, 0.016492055307304077, 0.02151399929268375, 0.01702684207966401, 0.011805242595060739, 0.014323223525690088, 0.007685881899257978, 0.010811761615241926, 0.006880098624540216, 0.009725856963936196, 0.024801513251664974];en-hi
[0.012602744375261966, 0.02588955093062985, 0.0167916184037547, 0.008691955795571719, 0.01238357888617338, 0.007565591562669713, 0.005871306365288085, 0.013607000387003052, 0.025803701975482887, 0.041213628652415166, 0.03963960033209226, 0.025123010987655157, 0.017116332499706646];en-ar
[0.0219431930712144, 0.011491586537736756, 0.0142850501074533, 0.013604656438301445, 0.009316341388023435, 0.009395058489750457, 0.014651644011383183, 0.016698675216081572, 0.02531509369499229, 0.03692116923339389, 0.034791420955554514, 0.03805718039452742, 0.024883247385135983];en-ru
[0.011314559881626966, 0.009781027685759277, 0.007557261903344482, 0.0052214183596823276, 0.00308287976624457, 0.00613207539453404, 0.008391411306464749, 0.011170471853882253, 0.0157182866971423, 0.023955406577006337, 0.027836231197329912, 0.03303976900889037, 0.02460828869055417];en-fr
[0.027092919704051394, 0.03734424120001335, 0.022383909551807118, 0.016233697969902677, 0.020552386816094406, 0.015658349919980843, 0.01033799941403534, 0.010923685246449317, 0.0047674738831463975, 0.013216314448275392, 0.011087572386328943, 0.011893292071661092, 0.031062617394997733];en-hi
[0.014154144506914256, 0.026502810455822007, 0.01637491257362795, 0.008301378145905695, 0.01174704433194547, 0.007328485706031101, 0.0058244971435901715, 0.012828396217499772, 0.02351426865869892, 0.03822516962494197, 0.036469146869517764, 0.02178608314438847, 0.016937464810371287];en-ar
[0.021917205740978947, 0.012580888913838678, 0.014886089304716882, 0.013793998435405618, 0.009929895585547336, 0.009763843906814798, 0.014486021632418262, 0.016659180709350914, 0.024575662245733546, 0.03656594167230593, 0.03527226977294479, 0.03910412401323961, 0.023218664582996044];en-ru
[0.013468301223575903, 0.012598035869605367, 0.009087803670333633, 0.005712990263726637, 0.0028967479877480586, 0.0064168752730393575, 0.00880271509960809, 0.010582133922546698, 0.014841856279746674, 0.024302955294861428, 0.027358633602541208, 0.03341130397683736, 0.025638542890089676];en-fr
[0.026216772363030393, 0.03520346434370095, 0.020960377528973576, 0.01531783690696122, 0.02021222484009994, 0.01638620792835202, 0.01245896083598587, 0.015288208825106132, 0.008694661373979649, 0.010410719182020656, 0.0069939861386795685, 0.009763114069335587, 0.028209229962107934];en-hi
[0.012339628701732306, 0.023641506799557958, 0.014658689080015547, 0.007422214845745092, 0.01138864638474245, 0.0066896001223099265, 0.0057361186671174595, 0.012829649957068437, 0.024664611242081566, 0.04137343020211489, 0.04163881998213143, 0.028644226146433638, 0.0226325630363649];en-ar
[0.023367251891893683, 0.012776430630002174, 0.014995509311516064, 0.014246320980316585, 0.009695087622427222, 0.009214485676073261, 0.014522896525093507, 0.017149372782314928, 0.025711679953238586, 0.03897949502652934, 0.03608623260936488, 0.03983203050289552, 0.02561208995379357];en-ru
[0.012536969908009862, 0.010954972193228862, 0.008129747464958295, 0.005645744462544108, 0.003058429197293074, 0.006499534848776064, 0.00960379427612621, 0.013055476490281987, 0.019781326565929257, 0.030592391216065457, 0.03177696746103505, 0.03625812514380293, 0.026038873791640493];en-fr
[0.025209351741211188, 0.03532616402746667, 0.021252396246027865, 0.01566079143521747, 0.020584338057893992, 0.01664442982848222, 0.011238726341846576, 0.01243262207881676, 0.005100840707896997, 0.012577623739800725, 0.010858072579649936, 0.012032989701659932, 0.028438820555674652];en-hi
[0.01187319817166107, 0.02453387313072708, 0.015351266540051145, 0.008030953972762078, 0.011632616177322128, 0.007326196726405598, 0.006704132139880659, 0.015004123608191445, 0.027866905707378032, 0.04585484275627732, 0.043229350170685875, 0.027718516701411903, 0.019702146369425674];en-ar
[0.021952145851458126, 0.011468837348029908, 0.013679727413412543, 0.013450380614984431, 0.009303815469586743, 0.00897917613324885, 0.01424894592803453, 0.01784378012835728, 0.027664734943509024, 0.04046493370796433, 0.03787864239994636, 0.0404836388841852, 0.02306145738909694];en-ru
[0.011438480113169827, 0.009603550879199951, 0.006844125249245161, 0.0045245401770034905, 0.0032992787447031833, 0.006250847427843665, 0.008077317212798245, 0.011057805677122595, 0.015031176415489265, 0.022278385026194673, 0.025119732449477072, 0.030337168332500115, 0.021678516567880137];en-fr
[0.027912717781750324, 0.03811038744702889, 0.023686763643004673, 0.01699362618019778, 0.021280902555356092, 0.016314492119805415, 0.010763753026028455, 0.011134365124259932, 0.00488285969426297, 0.013019836000980655, 0.01044651947609018, 0.010965457991574664, 0.02844657752698896];en-hi
[0.0133642711258785, 0.026393676481144383, 0.017031378838828094, 0.00850449925085632, 0.011841474435731582, 0.007181315237254666, 0.006886444923376161, 0.015699192460326535, 0.028454359089340676, 0.043501170992533644, 0.04122020962537778, 0.025931012228107165, 0.018958119075045875];en-ar
[0.021773994717606555, 0.011762118586706283, 0.013963248666500732, 0.01366641428780949, 0.009811559590013215, 0.009817833859041005, 0.013716213562206977, 0.016181772925300184, 0.023488479541736686, 0.034290829987605145, 0.033110067887935496, 0.037910362784165326, 0.022886637756668157];en-ru
[0.011763510234230107, 0.010336796012762772, 0.007421274714255225, 0.0051445895897111885, 0.0028257129518177793, 0.006178786821918684, 0.008373898785231058, 0.009890606271383919, 0.0127178533374422, 0.019906291082534323, 0.023165538455891022, 0.02961878224454175, 0.022120084889239822];en-fr
[0.02681577080689616, 0.03679694525103523, 0.022270901193940904, 0.01578213465940557, 0.019781689514841917, 0.014959566338020723, 0.010178306414941874, 0.01180298213871426, 0.004722638948005287, 0.012444173743443275, 0.010567799798943865, 0.01088240294335122, 0.028600929654079343];en-hi
[0.012702412648327558, 0.025637249232655746, 0.01623544543117107, 0.00806419087363212, 0.011647834134680861, 0.00699876873221455, 0.005316383365598749, 0.013039675910287088, 0.02382274394148439, 0.04115203432521147, 0.04045004875404375, 0.027298313417065227, 0.019843891313632137];en-ar
[0.021135654402170228, 0.012371313614835271, 0.01480610468442382, 0.014081137776985194, 0.009848482078280938, 0.00971620984246946, 0.013763913198384931, 0.015822679758772343, 0.022781894980661396, 0.032760309026589475, 0.03191198567720195, 0.035444403792727015, 0.022574094600496777];en-ru
[0.011837434950667879, 0.010999935296112368, 0.00793186670914215, 0.005278444266904442, 0.0032071950925313, 0.006702140553990374, 0.008228044623218793, 0.010005177141697663, 0.012568381061371987, 0.01850892321100028, 0.021741297416071698, 0.025878704551916605, 0.018733405873085623];en-fr
[0.027832032485092473, 0.03711001393191329, 0.022574768678605577, 0.016268655475154985, 0.02036521872646199, 0.015760517847437743, 0.011408362441633813, 0.0135495686456277, 0.007113696511754752, 0.010785833659901498, 0.006816661706063581, 0.009699045748339592, 0.0263759742552109];en-hi
