Value;Language Pair
[0.17755014608963393, 0.14047426159260795, 0.17110232660779728, 0.20190977725666015, 0.21161710290238261, 0.21924057574011385, 0.21064161224057898, 0.21952120652887971, 0.24789383945753798, 0.31295426341239363, 0.3551868620980531, 0.4046274265926331, 0.5374073345353827];en-es
[0.15060640989569948, 0.12792243192263414, 0.15611425041628535, 0.18587154222652316, 0.19350048797252384, 0.20751769607653842, 0.2031982867734041, 0.20394410900073126, 0.23518355764448642, 0.3080142319109291, 0.3521379803633317, 0.40450106918346135, 0.562289067725651];en-es
[0.16719779626466333, 0.14403722975635902, 0.17245165814412758, 0.1974475187342614, 0.20146749222185462, 0.2155799764324911, 0.21292911226162686, 0.2128232703707181, 0.23090200955048204, 0.3007055337913334, 0.34139429005328564, 0.40266095935367047, 0.5608752619102597];en-es
[0.16320606604218482, 0.1361968546314165, 0.16115279450081288, 0.1809436826989986, 0.18467335636305507, 0.19434356089448557, 0.19912380421534182, 0.2032193845603615, 0.22642840982880444, 0.2867656911164522, 0.32163544121198356, 0.35792513590538877, 0.5480048899399117];en-es
[0.1546079901745543, 0.13143510202906328, 0.15920992539264262, 0.18152848852565512, 0.18336122286040335, 0.19672795273247176, 0.20008940303931014, 0.1989981053653173, 0.22864607385825367, 0.3035116378767998, 0.3458013857062906, 0.3990523114521056, 0.5609269398264587];en-es
[0.1524680654576514, 0.12177705505011545, 0.141835868190974, 0.1670349646813702, 0.17232118968619034, 0.19223761174362153, 0.20092545026447625, 0.20632560034282504, 0.2220563567406498, 0.28850932240486143, 0.329670414760476, 0.38218007744755594, 0.5652008344139904];en-es
[0.14976154471514747, 0.12634551377035677, 0.14445202497765422, 0.16560393438478058, 0.18097563522867857, 0.1980613432172686, 0.20191693896136712, 0.20913886317284777, 0.23584609772311524, 0.28799282234045676, 0.33242189523298293, 0.3894924064725637, 0.5398458971641957];en-es
[0.16687070518732072, 0.13465340812486828, 0.15554510513087735, 0.18359456543617853, 0.19495273827575146, 0.21377293387660756, 0.2142986906529404, 0.2155687724822201, 0.23852939636446535, 0.29739297249820085, 0.34500641296617685, 0.4110650634020567, 0.617718367613852];en-es
[0.16728461424558191, 0.1429540028097108, 0.1651451118348632, 0.18242890080902727, 0.1831389014767774, 0.19184081430837976, 0.19707248567021451, 0.2066869617602788, 0.2300433369493112, 0.28995399784180337, 0.3388359727244824, 0.39867874750401827, 0.5682795538473875];en-es
[0.15608136043301785, 0.12227424125070684, 0.15305182938696815, 0.17836622919188813, 0.18808269326691515, 0.20680172747466713, 0.21059222601354122, 0.2166496043978259, 0.2406748713972047, 0.3092389520257711, 0.35869496974162757, 0.4086463514622301, 0.5539948518760502];en-es
