Value;Language Pair
[0.06790169362770393, 0.0693320377956834, 0.07706702911677712, 0.08642502579034772, 0.09486813593588886, 0.10056642657786143, 0.11107838658563923, 0.11974060721183195, 0.1447005538911326, 0.19398009733390062, 0.1863231054050848, 0.20709407144505532, 0.19088583302815096];en-ru
[0.06725362032194972, 0.07014783170784358, 0.07869207554729656, 0.08973013440566137, 0.09429049903302802, 0.09675135287520242, 0.10890991758695599, 0.11487253045596299, 0.13969169712084112, 0.19354694787901827, 0.19059150540329575, 0.21568389176827624, 0.19958998129807878];en-ru
[0.06669741411446012, 0.06699879758019234, 0.07433296729890435, 0.08558052424584457, 0.09128249275642156, 0.09595178512576967, 0.10410622545448132, 0.10662966249455348, 0.130417391768191, 0.18344672591798009, 0.18024259290168992, 0.20664946476358453, 0.2008066775550833];en-ru
[0.0659676945062547, 0.06811746631364804, 0.07513373131066328, 0.08344955327385105, 0.08954688315204112, 0.09440288903337204, 0.10515276432453538, 0.11163113969191908, 0.13774265069187094, 0.19092442196258344, 0.1830740656859125, 0.20591872004535616, 0.19782697354466655];en-ru
[0.06422451151099813, 0.06554882170991914, 0.0730455385344685, 0.0831401716042892, 0.09018129843799397, 0.09480408257921226, 0.10420384337822906, 0.11113221720004367, 0.13718515224976, 0.1908900356512895, 0.19083478520065547, 0.21264363894681446, 0.19167501971727688];en-ru
[0.07352973478758941, 0.07535180886846501, 0.08273203715670388, 0.091784133224166, 0.09642099567735568, 0.09899393353209598, 0.10406735827750527, 0.11235968968446833, 0.13644643267744685, 0.18857359392161016, 0.18272302447522815, 0.20746808377676643, 0.19055708557344042];en-ru
[0.06853422575510558, 0.07103449605638161, 0.07954326400786522, 0.09191851639619562, 0.09878478784750587, 0.10390264426307112, 0.11314815828826977, 0.11731538584199734, 0.1387464687449974, 0.18994793265708723, 0.1894992296617711, 0.21398229525456555, 0.19253971453869598];en-ru
[0.06733280208567158, 0.0685733243614668, 0.07746742184122558, 0.0899034756377805, 0.09660235313500744, 0.10098969546996522, 0.11245758046655101, 0.11829126239486504, 0.145836799132172, 0.19609327202080748, 0.18944732739427128, 0.2136062926671002, 0.1897206468481454];en-ru
[0.06864798708725721, 0.06880768512487702, 0.07595011762843933, 0.0863496357272088, 0.08994316091609653, 0.09627910968345532, 0.10612391392316203, 0.11506950041123491, 0.14432205559966133, 0.19362709738186096, 0.1912709977417253, 0.2170430370523827, 0.19654316817177458];en-ru
[0.06850215483643114, 0.07012115165713476, 0.07748611434909981, 0.08971068562032815, 0.09556039739531115, 0.10224010942898167, 0.10929761985232471, 0.11202059618323983, 0.13512995422125096, 0.18884741919545922, 0.18566317429537593, 0.21676313921144175, 0.19677797885495238];en-ru
[0.07111825312470318, 0.07043848154973238, 0.07964507508371026, 0.09296415547229117, 0.09902823043533135, 0.10236870828381507, 0.11383830846619093, 0.11842389570968226, 0.1425643657221226, 0.1968645625455538, 0.19426781125506387, 0.21812197813993317, 0.20915473861061037];en-fr
[0.07485463263711427, 0.07385283276464906, 0.08438633030687924, 0.09864490820793435, 0.10247524791830073, 0.102417219992436, 0.1133088747626316, 0.1233014185304055, 0.1502866433332674, 0.20823398032598198, 0.206159702472738, 0.23030839086323976, 0.21572183126222808];en-fr
[0.07074453641325817, 0.0700712657119002, 0.07849300194985699, 0.09165430941334489, 0.0959633867376906, 0.09999246182100614, 0.11184240649314597, 0.12263844187607174, 0.15265475733717904, 0.21420575985749019, 0.20782881861785427, 0.23324151234948295, 0.21165770561178215];en-fr
[0.07177282625103544, 0.06830091230687685, 0.0769204277487006, 0.09121300127124414, 0.09597474348154356, 0.09895393360126764, 0.1102960457955487, 0.1207784359025536, 0.15301343617530075, 0.21258572343489504, 0.20656378177719306, 0.23627610392845236, 0.2198508200435899];en-fr
[0.07424209619371686, 0.0734227626208085, 0.08562272345618112, 0.0994100770483492, 0.1042923018617148, 0.10696774541842752, 0.1167547785283532, 0.12507698911594342, 0.14834680558234686, 0.20520972533826717, 0.20023218989325686, 0.2214040297032334, 0.211419930690623];en-fr
[0.0738753415637475, 0.07349121527684474, 0.08370457210578025, 0.09879928353877768, 0.10200540975818877, 0.10334572533483151, 0.11272000988211948, 0.11999235510174185, 0.147441875136632, 0.19834361258766148, 0.1929342139258515, 0.21701641151774675, 0.20900518293335335];en-fr
