Value;Language Pair
[0.6431791332371843, 0.4402044641843531, 0.44819636171644867, 0.4648158777935896, 0.5782246302980153, 0.6487266366695985, 0.6801399478999277, 0.6812344026907037, 0.6544372480975774, 0.6027652745181694, 0.6384099131906017, 0.6391394399552761, 0.7596082431978236];en-ru
[0.6764911039538372, 0.5296584118165386, 0.5228779786763091, 0.5230029370884101, 0.6110149838358242, 0.6906363530363887, 0.722950409433494, 0.7351644804096334, 0.7311927947933146, 0.7153387045561491, 0.7491106251708698, 0.7709055723894077, 0.8339528309173572];en-fr
[0.6204758675326594, 0.363060136641919, 0.36167780950898304, 0.38490940142869173, 0.460815275513293, 0.6242749031268371, 0.6637321906350553, 0.6857502874406055, 0.6828701932379044, 0.674628553429308, 0.7038024975565107, 0.747663433313913, 0.8479753965744748];en-hi
[0.6165370986176034, 0.3330699948745314, 0.36533248671951396, 0.4020574809690394, 0.5466193319386973, 0.6572108692196585, 0.7029678540327586, 0.7308694115824377, 0.7430241784709506, 0.7239940989754784, 0.7520028134070648, 0.7578231821674853, 0.8293150612525642];en-ar
[0.6524579876589511, 0.4298300861431441, 0.45113172397735374, 0.457518037877162, 0.5531323257683349, 0.6396604836468275, 0.6715417911283051, 0.6828372654753426, 0.6596567616549631, 0.6226294096650478, 0.6687692050853123, 0.6873969370972676, 0.7957089295820333];en-ru
[0.6889687581267208, 0.522054288374881, 0.5106948063681678, 0.5095291119099905, 0.5963948502946005, 0.6756930136102407, 0.7087740028059731, 0.7301217179004258, 0.7363396118480402, 0.7286352614080533, 0.7602267202013172, 0.7725811316041896, 0.8373939427935208];en-fr
[0.6199003192984188, 0.3656065588754185, 0.366854063066894, 0.38231928833337103, 0.4736551423522178, 0.6340081840956312, 0.6732405888506522, 0.6973670676156568, 0.694448942670521, 0.6779478424337382, 0.7049926735344343, 0.7353938991378527, 0.8353329984222849];en-hi
[0.6296021790911133, 0.33379883287164075, 0.36618330228452883, 0.3987613890040302, 0.5336304677572722, 0.6421014305530116, 0.685569234242818, 0.7155976383772213, 0.7254733240356048, 0.7173815961694345, 0.7380132446678666, 0.7477183919291323, 0.8355230533114324];en-ar
[0.6335880714341087, 0.4291154328306584, 0.4445286232533787, 0.45641258390581546, 0.5406322282187951, 0.6355629851661312, 0.668733679796181, 0.6768107450436218, 0.6521206138054064, 0.6112916055965858, 0.6463681675660579, 0.6567511771436936, 0.7728278303864257];en-ru
[0.6648752861846393, 0.5105739445778696, 0.4959935377243285, 0.503963281622855, 0.5831893563721678, 0.6709657038693937, 0.7080316665659969, 0.7287342944162568, 0.7336052897262076, 0.7324513218024125, 0.7615746291709365, 0.7755230780535688, 0.8320260334786144];en-fr
