Value;Language Pair
[0.7630939973494969, 0.3514787173946388, 0.3088929816801101, 0.39813083126054455, 0.43425822995525476, 0.5379941240418702, 0.5828118799898463, 0.6353870834749735, 0.6767238515070252, 0.7085442206946512, 0.7649983556560862, 0.7424736832206448, 0.6825129878257091];en-ru
[0.7762163637128349, 0.44486069412281115, 0.38359370327865083, 0.41582442752396065, 0.4361656414096554, 0.5397467345371842, 0.5824350629157077, 0.6435562972413997, 0.7014725853751103, 0.7548997820044557, 0.8091827297707399, 0.7842584648480018, 0.7318931543237219];en-fr
[0.7494978271952519, 0.32472945494072825, 0.2645371129181149, 0.32837876279372724, 0.36077738082414723, 0.4424456635443494, 0.49712247334692317, 0.5651214795202638, 0.6290049920526023, 0.6657492851217588, 0.740306624888132, 0.7072252107101182, 0.6624544678752621];en-hi
[0.7295211302426954, 0.30917284146339324, 0.25900228483602405, 0.35834318411691735, 0.3993464401426415, 0.4630841428382943, 0.5146611463682105, 0.5830694478812317, 0.6427817182118694, 0.6766588712887217, 0.737478991523385, 0.7115417613958319, 0.6714070904782663];en-ar
[0.7360637729925414, 0.35746348479389173, 0.33015301192567376, 0.42523172319866714, 0.4409214096919944, 0.5327842720574699, 0.5768229042987029, 0.6334575453664487, 0.6804929234747153, 0.7132498363638297, 0.7627940100175329, 0.7386879509563248, 0.6740809482584397];en-ru
[0.7658535392396152, 0.44486156679689887, 0.3845540678978432, 0.4291405197776233, 0.4362101389261079, 0.5430798684136243, 0.5890606879101445, 0.6540745613175628, 0.704947144134591, 0.7565637101233006, 0.8217121007169287, 0.8024437647809585, 0.734086262510779];en-fr
[0.7208392950147391, 0.3081182935712665, 0.28391955615021286, 0.3581639673366832, 0.371661835606792, 0.45387078532638647, 0.5121352589471887, 0.5792267926797892, 0.6436287820913519, 0.6760170966635147, 0.7364608146630538, 0.7073312302213162, 0.6696001722776176];en-hi
[0.7082176150847226, 0.29601667505766577, 0.24722957245462263, 0.35658238356777777, 0.3937505333381705, 0.47718223892191114, 0.5313604383605222, 0.5931526658233875, 0.6601638031750917, 0.6915826873729626, 0.7527943359306907, 0.7218603556696326, 0.6695027658405404];en-ar
[0.7344011004529117, 0.37564362849031263, 0.3326237778326807, 0.40428473682686067, 0.4293740661892419, 0.5175154760417839, 0.5481679512312015, 0.6010292012739228, 0.6736570280984354, 0.7146050973857443, 0.7606586805017044, 0.7509126958126823, 0.7052942405299594];en-ru
[0.7622346124922236, 0.47691914547700437, 0.3862239237812658, 0.43025489010072004, 0.4389017114182934, 0.5321117131959181, 0.5748710991504292, 0.6439601880994936, 0.7112205268597851, 0.7543257269014915, 0.8067973329251011, 0.7913824357558041, 0.7613621851895005];en-fr
[0.7098752110699813, 0.33900191564889004, 0.27985526877921074, 0.34634165363017627, 0.3776539956498891, 0.4619409652799368, 0.5162104000038622, 0.5923158757927983, 0.651367992288433, 0.6667291139066219, 0.7186155070302387, 0.6954554628829162, 0.6464066128060222];en-hi
