Value;Language Pair
[0.009264962930925104, 0.013652683942082685, 0.003502396235986489, 0.010558677989326656, 0.02648131261333278, 0.028362522965600448, 0.03182131741756754, 0.03471103423066433, 0.03742548798735601, 0.044793143177031355, 0.04100320890001708, 0.04484598934053506, 0.08017071765180364];en-ru
[0.01361785391506905, 0.008136908343397064, 0.009681175720243592, 0.017518837783834982, 0.028213323661189213, 0.016525844349859094, 0.021134119036820845, 0.02323995444282005, 0.02478517379503363, 0.03145362658735147, 0.031695141231263435, 0.031755489241961116, 0.04011202006249819];en-fr
[0.0129359007118253, 0.011694384357981261, 0.0065184028039415335, 0.011401374159832608, 0.024027903048007983, 0.009335484367434513, 0.004900947414490519, 0.006410173946888703, 0.006966159225917324, 0.007664311712616395, 0.007449534864654802, 0.010274682010245097, 0.05495373330316955];en-hi
[0.008008331194007292, 0.01583377138405415, 0.0035820329172493418, 0.005217852630672433, 0.013845051505434705, 0.004358386351447517, 0.0037496670441745225, 0.004150250366764637, 0.0033826198439271503, 0.005328492217533942, 0.003240830317444653, 0.00995947690649452, 0.06987750295297236];en-ar
[0.008987062827582618, 0.013808518268699242, 0.003468869763945616, 0.010472985699527563, 0.027049347760748264, 0.029729926715250557, 0.03283319771673533, 0.03531802034612563, 0.037669890882508064, 0.04506676460885403, 0.040935808178776005, 0.043879917894947315, 0.07839574959148529];en-ru
[0.013598937043853523, 0.008086473533546405, 0.0097000459728093, 0.017489429566613757, 0.028001266515102444, 0.016612619548741603, 0.021389840013361326, 0.02375910972984564, 0.025235622887420917, 0.032044665635667734, 0.032690105779041495, 0.03253913376613107, 0.038521579396955476];en-fr
[0.01263513382894806, 0.011219666681203043, 0.006341838358335901, 0.011156566653497393, 0.024972134271134854, 0.007649008995475407, 0.005045517879869332, 0.005860706963335764, 0.006642604971590809, 0.007360956220913685, 0.006860339985262783, 0.007800230942603355, 0.056804518424181535];en-hi
[0.008025874782072125, 0.015642249138036378, 0.0036629402444163604, 0.005204731643245184, 0.01406737870375063, 0.004508966538110473, 0.0036025254078535657, 0.0038633805799829844, 0.003262447350218187, 0.006031618481208476, 0.004033589592275806, 0.009804459474447646, 0.07173036455196705];en-ar
[0.009070628214131387, 0.012861540185010486, 0.003664801010714526, 0.010675603460973208, 0.02673389082784473, 0.03045301422724277, 0.0334609586292378, 0.03580698555697363, 0.03818882497926904, 0.04506000913883689, 0.04203503983474734, 0.04438770242116993, 0.08054981648269563];en-ru
[0.013160943726648165, 0.007850999676125885, 0.009912096286111645, 0.01759377835655983, 0.028549035347316364, 0.01804689977423453, 0.0223231714236901, 0.024255305917005414, 0.025290691023653056, 0.03192588844438858, 0.032071741981823235, 0.03210275782889257, 0.03944439791630603];en-fr
