Value;Language Pair
[0.0030992110324012797, 0.01484714848843835, 0.005830324105083468, 0.005628566005595961, 0.006174951537434708, 0.003556722785046016, 0.0026593412166268995, 0.0017374497805604694, 0.0016947918206954933, 0.002520127664110804, 0.0018157151635258826, 0.002002407618795763, 0.007662990738285608];en-ru
[0.006133016548030689, 0.010345191857580009, 0.004879263710622448, 0.010217673483509342, 0.00954923738765493, 0.0025006541671629343, 0.0021901224640637597, 0.002316952949091884, 0.0026888103154310092, 0.00347805890156071, 0.0055758033586731865, 0.007143057760955734, 0.009236413794935753];en-fr
[0.003809957228780062, 0.016586648529766233, 0.006121672776908657, 0.0063070515465442605, 0.01213390372474576, 0.014224494074488976, 0.010340132239748128, 0.005758371798623943, 0.0018074627234204626, 0.004284783758728089, 0.0023138172957291097, 0.003461291232235882, 0.00815646380679575];en-hi
[0.002723141121157403, 0.01805630441568045, 0.005146555365412213, 0.006476802240989116, 0.012243384981284852, 0.011197413461151568, 0.008270231640876757, 0.004167016730309966, 0.0012017090002637322, 0.003936939953279452, 0.0031041703408296473, 0.00353865305967761, 0.008957527808926625];en-ar
[0.0027758460262331136, 0.014286455149461254, 0.00639073665829386, 0.0051528412898590465, 0.004769179865281084, 0.0023541726928578395, 0.001847072427961667, 0.002151637925886954, 0.0018411939215136142, 0.0032052189518426717, 0.0020465610031503976, 0.0022691398842553216, 0.00888327860827611];en-ru
[0.006365090600743855, 0.009718973290190518, 0.005016572576886409, 0.009808767491250155, 0.008702920368432437, 0.004449022371747787, 0.0031331150480015104, 0.0020240328772215266, 0.0018163710878977444, 0.0037636972931048237, 0.004611840593658156, 0.005839186629079402, 0.013959467201470939];en-fr
[0.003936035301483232, 0.016987858538348617, 0.006307535481423145, 0.00651719453568095, 0.0121591614817161, 0.015487618818983855, 0.011523598575745026, 0.0068140389173410075, 0.0019997412453616158, 0.005144191744018849, 0.00261705704359041, 0.00334135096169722, 0.00812994816093124];en-hi
[0.0026113091277399285, 0.01754804711705787, 0.005342271859218304, 0.006644345714075747, 0.012863452691715916, 0.012727371110597662, 0.009616356101506381, 0.005256379061168369, 0.0017860361536992844, 0.0049372077384864, 0.0035313956787114747, 0.003811862578838499, 0.011651080684994326];en-ar
[0.0027571273321521273, 0.014105149223661614, 0.006012945869808046, 0.00507413127473824, 0.004819295003089551, 0.003215863583165161, 0.002338582410508659, 0.0017072658530812115, 0.0017471879465860887, 0.0027912526122228437, 0.002309868704374457, 0.0023757046397314898, 0.005404507856106013];en-ru
[0.005990441570435868, 0.009795583331289031, 0.004881864688561096, 0.008806985878409484, 0.008340904815673435, 0.003920471512399994, 0.002878710232287437, 0.0018408419913014478, 0.0016558314086807125, 0.0033112384571193304, 0.004193957999773714, 0.005883456199957194, 0.009449058805410469];en-fr
[0.0036106398428125577, 0.016179840776763633, 0.006374696731582161, 0.006639664394853481, 0.012419695081500749, 0.014967648064600686, 0.011239904395079076, 0.006518293537300643, 0.0018613239740055034, 0.004697836272842292, 0.002508961466134338, 0.003470553316698116, 0.0067481479675808075];en-hi
[0.0025661510274000757, 0.018123783704742113, 0.005131423135143286, 0.007140237099120732, 0.013112014163838701, 0.01287234527175361, 0.009573942977017505, 0.005108137608431852, 0.0014477424919845162, 0.0044718012391330286, 0.00329024380022344, 0.003452242926844141, 0.005852474151016165];en-ar
[0.0030263883010651425, 0.017839700367320594, 0.006500210497209271, 0.005701989278677634, 0.005479634747658019, 0.002489779821661665, 0.001766256739826989, 0.0017164162745927506, 0.0014625514602110425, 0.0023457479281194255, 0.0015585726511602649, 0.0015750629915749562, 0.005922166289560507];en-ru
[0.005704786477343573, 0.012696253991912777, 0.004858080895116505, 0.00887566925638619, 0.008007942714437416, 0.0037786769232395784, 0.002465721333672271, 0.0018262713597596077, 0.0016565664506704685, 0.0031984717078358633, 0.003874616572826216, 0.005375240139381916, 0.012550783615739133];en-fr
[0.0035830979976745965, 0.01998091760416279, 0.0075498684295755925, 0.006637343421890786, 0.012716680900498262, 0.015757124545711713, 0.011508433784472772, 0.006497358172997852, 0.001864053986272081, 0.004112696131047783, 0.0021763276612987797, 0.003383530998167001, 0.005604952114392903];en-hi
