Value;Language Pair
[0.632696871405157, 0.42133377191574256, 0.4520431089377962, 0.49161627353110815, 0.5891868746787077, 0.7271658654654554, 0.7664251120830886, 0.8105134684685618, 0.8196983925437477, 0.7902080821393368, 0.8681660643778741, 0.8866059064740935, 0.6831906871767327];en-ru
[0.6843701756718413, 0.5266949957314743, 0.5095951564174417, 0.5369707067421404, 0.6281662562924126, 0.7615742895953979, 0.7927814653434325, 0.8324098903069655, 0.8460843991286432, 0.8408444267801891, 0.9121639867282162, 0.9220359373705772, 0.7616989908615748];en-fr
[0.6303704384248704, 0.3846951085010854, 0.38258104217937217, 0.40894162026010844, 0.46790961248024054, 0.7033279790139446, 0.7484090193283434, 0.7849658878830572, 0.8042876164087405, 0.772035788691137, 0.8086532892620502, 0.8137376763784171, 0.6799657698324881];en-hi
[0.6217509655708757, 0.3412296671560034, 0.3747559249470942, 0.4370814847719157, 0.5564231950653872, 0.7137032062599125, 0.7551236363624533, 0.7987415723642335, 0.8187453224102501, 0.800307636372745, 0.8434911251688997, 0.862191932539766, 0.7091152922219286];en-ar
[0.6084973228586993, 0.420597066465416, 0.4238094416714739, 0.46642060367778565, 0.5793856441014213, 0.7072291472464955, 0.7514931737196943, 0.794067314962546, 0.8125001635724524, 0.7857102843707738, 0.867557180125732, 0.8774215094481285, 0.697761786369762];en-ru
[0.6629465571577505, 0.5135311707990089, 0.4985960989022472, 0.5153583884223675, 0.615577344148575, 0.7306368036443989, 0.7693346265501653, 0.8144320086250082, 0.8363521979904424, 0.8258240853622556, 0.8939343720550338, 0.8993248136589924, 0.7587160778045654];en-fr
[0.6077483319778306, 0.34689433177988876, 0.33902003676538395, 0.3643881987821078, 0.4387164470751304, 0.6736580272323529, 0.7235992406153431, 0.7638144079882963, 0.7749773163146649, 0.7403466184542049, 0.786917059678041, 0.7890601165561626, 0.7081549251368172];en-hi
[0.60766713066987, 0.33513189470696186, 0.3569463219117218, 0.4149710949785852, 0.5327034636641231, 0.687998566099753, 0.7334285815374461, 0.7697630307276268, 0.7934894146226967, 0.7737336004385724, 0.8233651513269918, 0.840847915392369, 0.7214100191398757];en-ar
[0.6262020104114587, 0.40545958082191647, 0.43034132033533146, 0.4593890126612193, 0.557493916677134, 0.6961154428970379, 0.7412713369230429, 0.7779409733456365, 0.794347249083997, 0.7558103680548569, 0.8312737395583342, 0.8405212862090654, 0.6943755792733282];en-ru
[0.6662484935422739, 0.5077740787815613, 0.4916408834181493, 0.5085337240314888, 0.6138738022075267, 0.7496931030911704, 0.79243062329789, 0.8281130687182303, 0.8393913909967523, 0.8207312696970378, 0.8736795230054607, 0.8833580072472493, 0.7578805225870262];en-fr
[0.5978739023565626, 0.3577186636650003, 0.3616866172431037, 0.37735720492627783, 0.43797063687011056, 0.6665453594364226, 0.7140319690119941, 0.7458679388801102, 0.7650381245953031, 0.7267656486923806, 0.7666467760406279, 0.7672975509016153, 0.6826793130576455];en-hi
[0.5980080138589255, 0.3207200950660141, 0.34705655630032806, 0.38838895022170616, 0.5175105186889414, 0.6666161247111935, 0.7136037912887211, 0.7519680387128999, 0.773969001074632, 0.744304369703168, 0.790946217464904, 0.80115231393526, 0.7033884769806172];en-ar
[0.6300704473156171, 0.4123885300909751, 0.4257040507501612, 0.47092722470096005, 0.5554945297981128, 0.683317200714179, 0.72265873281518, 0.7622438869997858, 0.7651128899647544, 0.7208920173409085, 0.8040100725367665, 0.8112238584800313, 0.6776482507559316];en-ru
