Value;Language Pair
[0.7186217911882947, 0.3513900375117858, 0.316690345214059, 0.3945677653513849, 0.42420757926534863, 0.5842159741783204, 0.6341511232887084, 0.6794009910027186, 0.6887116360788544, 0.6016755585776021, 0.6517415946597854, 0.6573570307685683, 0.6614650865799437];en-ru
[0.7447215920190017, 0.42504706245226165, 0.35729227441052597, 0.39722250118386, 0.40695571550303916, 0.565918242041953, 0.6306795560972144, 0.6938997273286804, 0.7233993090813359, 0.6661812735479907, 0.7537571056000888, 0.753364619302253, 0.7192140726558864];en-fr
[0.7083486402283112, 0.3095527511672117, 0.25338059619646325, 0.3218988795867578, 0.3437532758367403, 0.4297048943877841, 0.46294241041565937, 0.4798533137010721, 0.4857265930250287, 0.484385662835557, 0.5782986043393612, 0.587229314512418, 0.5923797414917499];en-hi
[0.6826296699230443, 0.2824794849668494, 0.23581383122208838, 0.34348827364495566, 0.3697167634618624, 0.5221123072338135, 0.5678220906543235, 0.5603160984666707, 0.532681015713606, 0.4942805311953028, 0.5531790125201224, 0.5881682652064288, 0.631815880810221];en-ar
[0.7119742298556957, 0.35946570440816383, 0.30266361722470414, 0.3870541483326815, 0.42761351590289753, 0.6359949593121806, 0.6978323697575494, 0.7482833761225144, 0.7817549848292644, 0.7245909891277552, 0.7669039777914683, 0.7269290378565589, 0.6735065112185354];en-ru
[0.7437956406579663, 0.4372418481600471, 0.36143351950799113, 0.4225108988715025, 0.4314717990284165, 0.6106124042843779, 0.671495790622818, 0.7227624335186555, 0.7617143041392167, 0.7298812782329818, 0.7873643629904836, 0.7591042400919832, 0.7287037370695422];en-fr
[0.7047959683889834, 0.3439516256501277, 0.2548954294769404, 0.3281103055466277, 0.3640768625261262, 0.461084318178085, 0.47003449392970653, 0.44739313058089464, 0.4301158643582312, 0.4203078351196988, 0.5196103686800537, 0.5739794111934801, 0.6132061112035687];en-hi
[0.6845167470609885, 0.3055122324969852, 0.23910630184788412, 0.3308679725355857, 0.34962151787554224, 0.5114706672060614, 0.5708902623830363, 0.5853100634622388, 0.5379480306322997, 0.48266752108776323, 0.5547324695500234, 0.5863418310306345, 0.6190064402048786];en-ar
[0.7425044192272859, 0.35723749979088704, 0.3153792582739455, 0.3878895454997352, 0.4228768317773938, 0.5875238142659267, 0.6421577614483734, 0.6913078335506725, 0.7158288364174465, 0.6195157833242168, 0.6581452476574728, 0.6400922729109879, 0.6411275105562527];en-ru
[0.760341696475322, 0.4386300026671961, 0.3614255939206729, 0.391508287297717, 0.42669871885795146, 0.5938620107062161, 0.6559651770287503, 0.7236898036359344, 0.7684555661864578, 0.7111673404214283, 0.8060559744605174, 0.7869648157184322, 0.7263361788882563];en-fr
[0.7260097489071389, 0.339601708582292, 0.26215946221241515, 0.32440576335570465, 0.3545364190707915, 0.47263677591457964, 0.4949992205392967, 0.49948327664441117, 0.5020722419551263, 0.4823175907150532, 0.547524852482602, 0.5625114394111248, 0.5847873105760664];en-hi
[0.7079568486940115, 0.3039244497815768, 0.25451865039377786, 0.35339403213118203, 0.37912165171156326, 0.5340782180401341, 0.5931739149514276, 0.6179776386606196, 0.5937167865472536, 0.5337607773665999, 0.5748263237200445, 0.5867880024231272, 0.625573497118894];en-ar
[0.7381951368538042, 0.35461408449249576, 0.3242383718719551, 0.39979581056085106, 0.4223354591076107, 0.5955032967155178, 0.6471318740118295, 0.7104483483172953, 0.7338085376781722, 0.6322869460990963, 0.6468250769625108, 0.6437511213310063, 0.6675187973290061];en-ru
[0.7639461826781432, 0.4525171336813946, 0.3845749160040092, 0.41816457536032736, 0.4305403440181787, 0.6002026635105722, 0.6664168095235558, 0.7281971605525662, 0.7593324396867925, 0.7155088171859583, 0.7874263222391407, 0.7564523049940666, 0.7051784522707264];en-fr
[0.710507852730807, 0.31750649857179575, 0.25964484539086696, 0.34034130942309276, 0.37806116031249987, 0.4885946617135778, 0.5143919823966765, 0.5121389014014858, 0.48013256177150954, 0.45368185834183045, 0.5443231404883166, 0.5824086133018136, 0.5963163184572476];en-hi
[0.7017619225367283, 0.3178385760410068, 0.24641987196402623, 0.35135545798810197, 0.39482214987588427, 0.5490680822916328, 0.5968456386122852, 0.6102693143269668, 0.5940083325033386, 0.5224678431234012, 0.5995795025319481, 0.6195142678000654, 0.6467805816605687];en-ar
[0.7367400339230274, 0.32910136620877894, 0.3057357150161018, 0.3967460395380234, 0.42856168031071623, 0.598929760879837, 0.6600525836351638, 0.7071358211121211, 0.7091475825601568, 0.6236392055855443, 0.6715044611816605, 0.6668187516834587, 0.6585219495076066];en-ru
[0.7719818381716808, 0.43793339290035266, 0.37047153831304364, 0.42217661765093606, 0.4158247399729832, 0.5677681875927374, 0.6392381182157745, 0.6961959925231834, 0.7092636318147804, 0.6645447082895165, 0.7629596520091096, 0.7537534012769659, 0.7289828368773063];en-fr
