Value;Language Pair
[0.7446660351101309, 0.3491123848885763, 0.31905785636277867, 0.37882629918555416, 0.3856896948053812, 0.5309721901252245, 0.5706976635443668, 0.6591932198343178, 0.6958950838136176, 0.6577509173595657, 0.7870728180479879, 0.851039956236879, 0.6518687674388154];en-ru
[0.7850567039785286, 0.44639790335670115, 0.3881670512674221, 0.3984721448256945, 0.39972865603902996, 0.5878154014082004, 0.6530209102652346, 0.7346121944099043, 0.7484254630391175, 0.6840882699307985, 0.8267516263201833, 0.868962816906472, 0.6848521471365044];en-fr
[0.7247555339953397, 0.33518379643171403, 0.2691517185016225, 0.31746610927317914, 0.3381760068231476, 0.6100037301083406, 0.6511435864881302, 0.7201495861134026, 0.7355961445222299, 0.6451532976639768, 0.7524038697003076, 0.7501825098460541, 0.5890577510899554];en-hi
[0.7168503481987863, 0.31522831865896783, 0.26133115903746024, 0.3518484679609537, 0.36200245648428486, 0.5988814212800935, 0.6583156254662511, 0.7475312509356687, 0.7729800708405673, 0.690447494701948, 0.820224525090307, 0.8548079394549132, 0.6295141944723824];en-ar
[0.7190354722086341, 0.35616206119283256, 0.3147186350717675, 0.3846319052088074, 0.3839939493717005, 0.49647989912579454, 0.5568077411564688, 0.6591690250610311, 0.7008045505138579, 0.6798806778970174, 0.7916403987941643, 0.8549290948857864, 0.6289965267215545];en-ru
[0.7731752441699307, 0.4215973067951078, 0.36686588547791565, 0.39417871029116214, 0.383038023460346, 0.5636755559655527, 0.6345660305385051, 0.728912435726573, 0.7441434381095071, 0.6886940358765423, 0.8336417450445394, 0.8696782681594293, 0.662456618307624];en-fr
[0.7069405021941445, 0.3170977740455419, 0.254213771718593, 0.3252700039986909, 0.3459917286100487, 0.5620817886199803, 0.5983271286264062, 0.6752329866954824, 0.7029127997610097, 0.5645259193670548, 0.673289512336875, 0.6519326333266994, 0.5710164565624049];en-hi
[0.7030577897994469, 0.30697523815217814, 0.26114924138159645, 0.3465718913807844, 0.33593454527746264, 0.5742324531210276, 0.6444955563510303, 0.7318557836626133, 0.7631462512848278, 0.7216085042300013, 0.8621915949508547, 0.8795996737961347, 0.6159022551910797];en-ar
[0.7302288571620981, 0.31767063701913384, 0.30505961990522334, 0.39490344214485956, 0.3828432210977189, 0.5195452255076574, 0.5750341831434829, 0.6758946581495305, 0.7205963547993451, 0.7051017400622368, 0.7954401393405472, 0.857248479363819, 0.6613164651673287];en-ru
[0.7598274137452244, 0.4439604936245208, 0.3747030534657339, 0.4071654741991855, 0.39838323515451823, 0.6058566473408913, 0.6859237341179202, 0.7666946003648142, 0.774486213925605, 0.6963806660038729, 0.8280443800333888, 0.8797104191842179, 0.6719977941457183];en-fr
[0.7092219329268361, 0.3277138836606537, 0.24882252373732627, 0.3257778247942527, 0.3324382207944291, 0.5791906094131991, 0.6344952333314965, 0.7134334275413615, 0.7132614524507275, 0.6227761634594451, 0.7016272581430772, 0.6723085038476468, 0.583090309961699];en-hi
[0.6915792974911165, 0.29517321252399903, 0.2495551589752237, 0.33653868320708474, 0.3427834617936363, 0.5906270352161179, 0.6538082695048009, 0.7503059006808326, 0.7888100955076516, 0.7241426432101676, 0.822764234362791, 0.843695508831491, 0.617622451952969];en-ar
[0.7335038619798918, 0.3361918920625855, 0.3213785226767262, 0.36598619932464016, 0.382353504721832, 0.5475124771582583, 0.609380430545134, 0.6966259536674867, 0.7170145332968484, 0.657350113549813, 0.7923422255801658, 0.8611479492795964, 0.629234493089219];en-ru
[0.7697271498292685, 0.43264001012857384, 0.3838283509776617, 0.4141380697566395, 0.39744793579758453, 0.5768873419884282, 0.6485995460943862, 0.7286959711943443, 0.7365785616946717, 0.6736788729547213, 0.8377032499061897, 0.8760092205988864, 0.6924795205336219];en-fr
[0.7173008826747537, 0.3368114685166317, 0.27473166942829264, 0.33662525117358505, 0.3519776069869598, 0.5936839513635884, 0.633125883260121, 0.7039428063031907, 0.7238949399503569, 0.607582334385564, 0.6694007162408282, 0.6484126801105837, 0.6016762317507528];en-hi
[0.7135430136757592, 0.31401414062362165, 0.2588118650356773, 0.35033520199824125, 0.36828347646902937, 0.6115142544452101, 0.6793638426212905, 0.7543676328845322, 0.7656340891805787, 0.7346914639612563, 0.8356987596054872, 0.8354288384815057, 0.6220329852309078];en-ar
[0.7368247407814488, 0.3423765288603802, 0.31909707915969193, 0.3820507253023485, 0.397454783670061, 0.528595480741933, 0.5731142455471369, 0.6540584357626116, 0.6849445228868475, 0.6700116854347289, 0.7617288289467493, 0.7982370006168882, 0.6209607530732562];en-ru
[0.7734987070516217, 0.45002230271396304, 0.38766646253643555, 0.3983511073089903, 0.4040715733061855, 0.6012911529963215, 0.6610465316163997, 0.7353870863839984, 0.7431885018913696, 0.6766026167606469, 0.8213249977181355, 0.8664675290230661, 0.6753585649724119];en-fr
[0.7051769161472717, 0.334836365756734, 0.27553074431372804, 0.33704397736340375, 0.3575831116549671, 0.5896137693120788, 0.635224560831363, 0.7089430021028966, 0.7026352772799631, 0.5820557786058634, 0.6628603499010205, 0.6373720241473833, 0.5664931768489381];en-hi
[0.7163329936404867, 0.3279218188657736, 0.26211787201231346, 0.3463372647682263, 0.35651834023495516, 0.5898404926375952, 0.6428806983943408, 0.7235725470008523, 0.7408147621752383, 0.6517423241958022, 0.7632361690700055, 0.7780053571859995, 0.6051401175232605];en-ar
[0.7547223711851985, 0.33940816879534397, 0.32065912139834835, 0.3933929860657857, 0.4006643885839731, 0.556626306779993, 0.602372977846923, 0.6889590215613134, 0.7220576900987847, 0.7080352112097898, 0.8144600734935374, 0.8642550578340888, 0.6471793891473984];en-ru
[0.7630354702018667, 0.4349275516128788, 0.3785040492756525, 0.4058027004582497, 0.39930263368723296, 0.5944162245405217, 0.656292876273704, 0.730818039534303, 0.7495202483586035, 0.6896001257064441, 0.8469234101474286, 0.8875405062486728, 0.6955878305093696];en-fr
[0.7236206993740052, 0.3057336447290921, 0.25947145096336804, 0.33851662776626956, 0.3445725794066675, 0.6020798380486667, 0.6190433112966518, 0.678343608022357, 0.6825619726628065, 0.5313712953434636, 0.5663376647653058, 0.542632161808239, 0.5541055589122698];en-hi
[0.7160151342783744, 0.31520901694350567, 0.2589469757354042, 0.36470052745115633, 0.3740511424812333, 0.6135427738136301, 0.6623595234254996, 0.742367838161687, 0.7703158736135811, 0.698786938910683, 0.8270289096484582, 0.8287938218936324, 0.5929055719305567];en-ar
[0.7266907225106842, 0.3464427914330736, 0.30234970851413284, 0.36378294149103263, 0.37891594067992024, 0.5054387887185051, 0.5513817142074307, 0.6428620900590128, 0.6921227229665965, 0.6664159295801073, 0.7613064654078334, 0.8126078144468678, 0.6368274699679265];en-ru
[0.7565280970900009, 0.44221287468836334, 0.37243355542770584, 0.39704601678221174, 0.38582173429662364, 0.568680924748381, 0.6491419068149601, 0.737267108547967, 0.7451666598330484, 0.6906561354221776, 0.8297532223785917, 0.859496579800422, 0.6669514561444521];en-fr
[0.7005848708857472, 0.33255963444865, 0.25178670188353863, 0.31311963520643377, 0.3330303040930691, 0.5830946862138808, 0.6174608421698212, 0.7002815341199448, 0.720480429319044, 0.6241701199611028, 0.6996980520244688, 0.6895375373835365, 0.5642766543702843];en-hi
[0.6985229655727744, 0.3266199943066264, 0.2498299292141261, 0.3417993575769166, 0.3345455663763217, 0.571256379612411, 0.6308496906491928, 0.7185270545786867, 0.7373101333125184, 0.6754045576229691, 0.8227635465376079, 0.8116096943927308, 0.5930188405521525];en-ar
[0.72696078509655, 0.3408086663503976, 0.3145362528320402, 0.3786120671352061, 0.3658278599847108, 0.5238221707420113, 0.5838402995746583, 0.6734132914834966, 0.6968990310809264, 0.6883449666978171, 0.759423772963928, 0.8567339148186147, 0.6235805861057285];en-ru
[0.7667327279038727, 0.44736732602119444, 0.3779723672134181, 0.4076884623694544, 0.4066424524578421, 0.5906857126827041, 0.6532183325492467, 0.7398629387638842, 0.7579437996276344, 0.69126120356222, 0.8270417671774825, 0.8832605286563436, 0.7045067650048683];en-fr
[0.6981558183797946, 0.32352440436368246, 0.2717863171190644, 0.3300861169056346, 0.354924540099067, 0.5838747792815169, 0.6227351336266534, 0.7004744468349964, 0.7145727560172478, 0.5839995627632986, 0.6264752128068358, 0.6247497779926441, 0.5957701337477193];en-hi
[0.7006452456985911, 0.30744396286356884, 0.2555223124018933, 0.34077415230916813, 0.36281252628172905, 0.5964668405622554, 0.6604148455004907, 0.7489682583635052, 0.7774250651119897, 0.7038159161650887, 0.8140219267519812, 0.8601728174090385, 0.5957499050209298];en-ar
[0.7442766844667494, 0.3534062601866511, 0.33078576943837107, 0.4147037280603157, 0.419859089772217, 0.5549559354727778, 0.5946263068972621, 0.6722356647004684, 0.7120587626441072, 0.7062992570859691, 0.812816799711436, 0.8738773206373056, 0.6365874454813699];en-ru
[0.770595650523901, 0.43254936443486564, 0.3705775775838022, 0.40235247335668345, 0.3961169026605785, 0.5965606841010352, 0.6747346833720803, 0.7682769945605348, 0.7764193111293086, 0.7207741194590926, 0.8412327121958757, 0.8857255866130193, 0.6643122079308765];en-fr
[0.7269630960778644, 0.33111396942520516, 0.2734652733445788, 0.33776376206354597, 0.3488009082044785, 0.604471209825715, 0.6457141524304947, 0.7162903580597292, 0.7229748786985875, 0.6142429954682788, 0.6758194183721207, 0.6741672399217108, 0.5950051856426095];en-hi
[0.7169815904212494, 0.3140729648557802, 0.2589476774989938, 0.3532399859027161, 0.36012368217110635, 0.5692064164738015, 0.6591074350581039, 0.764942155664321, 0.7917526091386875, 0.7032651085002969, 0.8328253508671575, 0.8684909459203481, 0.6279203358044227];en-ar
[0.7131434021591364, 0.34773146466643085, 0.3242327083523075, 0.3932506476525062, 0.37914772279308334, 0.5226724248131116, 0.5718537839556423, 0.6596814753774864, 0.6922469584391607, 0.67874877770897, 0.782989678196609, 0.8433248926450809, 0.6502023837978292];en-ru
[0.7548514325047533, 0.46205545372019213, 0.4007435749882522, 0.42443168139318005, 0.41506506139645355, 0.6102528282596419, 0.6668617037124932, 0.741575866805312, 0.7562622607375185, 0.694963206872344, 0.8260976117818306, 0.8733143805526197, 0.6901526699805012];en-fr
[0.7007637178339065, 0.3191036643138311, 0.2701070988368398, 0.33833499969972763, 0.3366158157484218, 0.5873785977414809, 0.6354902498160179, 0.7136564165109303, 0.7076353335318466, 0.6050846357067349, 0.7194668335374445, 0.6936261247447691, 0.574609052798478];en-hi
[0.7023793369655807, 0.3011467427248135, 0.2574932056246325, 0.36862794640706853, 0.33335544647765347, 0.5901707713183714, 0.6405653566797264, 0.712705572679018, 0.7324452025202723, 0.6557253083648781, 0.787502323659913, 0.7968118241041278, 0.624177954516684];en-ar
