Value;Language Pair
[0.009333405638856446, 0.013692183266527361, 0.0037354285525856867, 0.011386460960056502, 0.022386406254508353, 0.02761550711911657, 0.03395792257622124, 0.0363597478244281, 0.039141494210541326, 0.05026272977313359, 0.049250564763542386, 0.0429333340014489, 0.04020259778757826];en-ru
[0.01390070799820706, 0.008201444661944762, 0.009889587317886219, 0.018806072704988384, 0.025577277279871097, 0.015575415934881962, 0.02082938075887947, 0.02296155795954229, 0.023593789467253486, 0.03030440588192425, 0.03310845695046124, 0.030921495638182743, 0.04777671444635211];en-fr
[0.013628773376479436, 0.010138992576943773, 0.007155882419434067, 0.013266738823941632, 0.022685342450111765, 0.010538020574071275, 0.006064764365232437, 0.007551090099548957, 0.007883678343203193, 0.008227118229364226, 0.009984103381294743, 0.008462326104554559, 0.06418512502376342];en-hi
[0.008199808413648082, 0.015141013012692823, 0.003590524504752691, 0.00532473472290462, 0.009021394114060478, 0.012142259051625887, 0.009484169402293534, 0.01057180006764902, 0.011450744676727534, 0.012105961894869847, 0.011941591994550603, 0.011182881020237373, 0.025048996183345863];en-ar
[0.00964690053327446, 0.013578888816116337, 0.004025843549145125, 0.0120045513637447, 0.023350224661919296, 0.027362328585975842, 0.03436250279643952, 0.03659984295743693, 0.03980878812927875, 0.050649350159418474, 0.05012722973881366, 0.04586948879314234, 0.04111774893158541];en-ru
[0.01426353562622164, 0.00777852264767301, 0.010049443567024408, 0.019016149881812543, 0.025033240822446796, 0.01269901589692837, 0.018415123033133307, 0.020761825413509072, 0.021699714241703513, 0.02694578270339133, 0.032430933110982274, 0.032448578655689016, 0.050450690160837114];en-fr
[0.013444727880355167, 0.011015730871943094, 0.006649508956196556, 0.012873670689650804, 0.02204874325223777, 0.010032890548656057, 0.005272711567090077, 0.006290386069725648, 0.006137859020253395, 0.007462184184744432, 0.009051519530751517, 0.007911397252379085, 0.07214945763607492];en-hi
[0.00820551080311771, 0.014574545255564035, 0.003835310271675391, 0.005260807421045207, 0.00900746381973509, 0.009212835293432966, 0.0059255833091829534, 0.0063780875948476305, 0.006241149905084917, 0.006087146203769364, 0.0059165270459070485, 0.004895619178259681, 0.02979115926527427];en-ar
[0.008593389989337029, 0.01266035414601159, 0.0038792607873030104, 0.010475622264255153, 0.022669404207198, 0.03219605674055056, 0.03894955687428831, 0.04168657950689327, 0.04418904263199575, 0.0549931029634045, 0.05309821445103794, 0.04776633947940093, 0.0445120455621383];en-ru
[0.013655472074943624, 0.0069432605110790685, 0.00997216268277393, 0.018296149592444483, 0.025364892266038844, 0.01630568100219302, 0.02199633115095661, 0.024508543495658966, 0.02490035307913971, 0.031409679627357856, 0.03462622586465753, 0.03333798981743565, 0.055485205341863575];en-fr
[0.012769710825980551, 0.010678307412088727, 0.0068591666699653235, 0.01185148264444965, 0.02171881454596083, 0.007650889135877764, 0.004076567127052324, 0.004827867640165627, 0.005450568135123692, 0.0076039929064231696, 0.009110577944319182, 0.0076371009924961165, 0.06950117472266333];en-hi
[0.008130192883986961, 0.013862135031687737, 0.003635647027133666, 0.00515855638000124, 0.008478654632918706, 0.00792011619752703, 0.00469692657201726, 0.004742586351418829, 0.004319968288731009, 0.004701939202184975, 0.004212261674939303, 0.003744207835531227, 0.03697168032105938];en-ar
[0.007859375148101845, 0.012851371622029432, 0.0036680479900598967, 0.0094946147578309, 0.02262745854839664, 0.035775903786483286, 0.04306293891902732, 0.046210989344786374, 0.04941351125665014, 0.061354229792646, 0.05924914888438057, 0.05341049538872194, 0.0458394619158945];en-ru
[0.013256283917879726, 0.006979046623836616, 0.009587159958949454, 0.017871617048679914, 0.024740851141513504, 0.016469894631376613, 0.022099734824295614, 0.024370722582353045, 0.02446509554422211, 0.030399158855301256, 0.03265306564213572, 0.03122254811603823, 0.04895569164327492];en-fr
[0.01220101111138308, 0.01094124820354988, 0.005921639511736226, 0.010960525641762989, 0.0208553457059397, 0.007567631572621719, 0.003948840294664476, 0.005063053709656718, 0.005618190567666802, 0.0073630857323582185, 0.008457856689660308, 0.0074173240277194165, 0.05897257636041462];en-hi
[0.007841104178455204, 0.014378227998887584, 0.0039059539632335044, 0.004849136505700031, 0.007749986995124937, 0.008066729058533392, 0.004587141540794831, 0.004836863706810577, 0.004986782676879633, 0.005448784788283498, 0.0054384669003568606, 0.004048474468961078, 0.026107373255454112];en-ar
[0.00882124336444281, 0.012489602982311613, 0.0038030186592863022, 0.010350224958473885, 0.02068439412049754, 0.0262729649347191, 0.032552639142598094, 0.03455739905725392, 0.037511220475823094, 0.047585400662269094, 0.0462558541163221, 0.041379960022603024, 0.0410628846398923];en-ru
[0.01369141757323043, 0.006350534449607158, 0.010238240092365956, 0.01782692469375158, 0.023323456727207332, 0.012710026928479218, 0.018282925481075105, 0.020700271913895677, 0.02119950459718037, 0.02637983493253329, 0.030154796599394615, 0.029326592057785802, 0.04777814747262557];en-fr
