Value;Language Pair
[0.009290040942855113, 0.013857667938488681, 0.004987686166206814, 0.0097886065570409, 0.0263424637295807, 0.013701920725341842, 0.013568310859820756, 0.010509343879547878, 0.008969631483699553, 0.012339648970882989, 0.016588232115571352, 0.017133658115074293, 0.005399555809970412];en-ru
[0.013188853004112417, 0.007182040524471367, 0.009549967287004437, 0.015041178455795943, 0.02305639310860803, 0.006093704103122458, 0.008356193757275816, 0.008984074539406747, 0.010232498768402015, 0.013703624880064531, 0.018558214840664212, 0.01990935591660941, 0.005692746996255077];en-fr
[0.0124973094250274, 0.011258684513775447, 0.00692511536666246, 0.010368842303527621, 0.018632629785502487, 0.005334683008202211, 0.004664231890964098, 0.007714083195946275, 0.012192555013628202, 0.015229320528179421, 0.024211516346188282, 0.027154461979555712, 0.007891584281493077];en-hi
[0.008027553789238452, 0.015190566187722737, 0.0036301619322746713, 0.004208457395608641, 0.010060091269462307, 0.005502573798485008, 0.003519807266933726, 0.0026914524384278743, 0.0018822115980497308, 0.0028469694337923913, 0.008691069132333196, 0.010989678531072262, 0.006945292610040815];en-ar
[0.009674902765950285, 0.01512116099999629, 0.005198508110815503, 0.010081707228788317, 0.02548548369898834, 0.012513829736380178, 0.01328641144999056, 0.011217161809288596, 0.010408620727064579, 0.014741058285885986, 0.01928493591250745, 0.019924114084903227, 0.004507029545954611];en-ru
[0.013315045759677445, 0.008069711145491265, 0.009917114019916504, 0.015343586435057151, 0.022839800982273763, 0.00658617447913987, 0.009810144399283056, 0.01102667640877165, 0.012631193987588716, 0.016418297009079905, 0.022186286774013637, 0.024615313693481317, 0.003550626554305781];en-fr
[0.01359744041725895, 0.013355980948769998, 0.0076353445908659825, 0.01160016608902128, 0.019491870693524545, 0.005906068072423643, 0.0048835464640512236, 0.008383093148769737, 0.013123209159032596, 0.01688083620492513, 0.024919295082104578, 0.027765012415537443, 0.008414701425411855];en-hi
[0.00830597088050626, 0.015931174305950185, 0.0034655843456195515, 0.004529551490433418, 0.010832589041395835, 0.004862234902046625, 0.0027069017594323628, 0.0023325350497890225, 0.002886522335481609, 0.004834928366773293, 0.01112306338570267, 0.013018706595239123, 0.006467657513144378];en-ar
[0.008630838175317283, 0.012934443548342533, 0.004917528860315499, 0.00916944457111518, 0.02502574316400364, 0.015141700669090062, 0.015315634200702855, 0.012475888908780729, 0.011218168215102412, 0.01550620150100889, 0.01977739124330974, 0.019832446044226945, 0.004675542109243053];en-ru
[0.013608307892700917, 0.007036124885556912, 0.010206795380514262, 0.015839738317973067, 0.02268235745438197, 0.007023423174780446, 0.010615434651240334, 0.012211373975070407, 0.01424080244554897, 0.018358079005699905, 0.023582353082469636, 0.025002489746087, 0.007847459999553039];en-fr
[0.012428586242027199, 0.011149698440361433, 0.006463060256954322, 0.010337124241790294, 0.01714333476345324, 0.005982687395305419, 0.004681107041187442, 0.008374560581706068, 0.013373010724559608, 0.017006997719075868, 0.0260826130734384, 0.028648106677961162, 0.0107892493884966];en-hi
[0.008091104453443732, 0.013999744267688059, 0.0037680601150540793, 0.004386318528315052, 0.009523196890399667, 0.004928439901873562, 0.0027035697021672873, 0.0020678972068959834, 0.0030181758104621706, 0.004920730967127954, 0.011751919113001082, 0.013557548734399365, 0.009686130833241827];en-ar
