Value;Language Pair
[0.002742280251795086, 0.014134070377376965, 0.006004864174976177, 0.005550002478546521, 0.0055709749884899264, 0.0031802874944982565, 0.00554084306774945, 0.007268813394356849, 0.00916143222390449, 0.011285682167207533, 0.012920318016319184, 0.016520686072062443, 0.005965041342918603];en-ru
[0.006139693230193378, 0.009473695583628646, 0.005689363769477843, 0.009495025766297424, 0.008825861053649965, 0.0036415824092212684, 0.0031281144528632157, 0.0022041255572719026, 0.002352091887550453, 0.003309736867561019, 0.0029370857120227445, 0.0038603502339020898, 0.008864100002574463];en-fr
[0.0038585343857945142, 0.01635339892296391, 0.006683663215340693, 0.006048276635285325, 0.016047760028293476, 0.034385960123520395, 0.03335397218981174, 0.027500764363177423, 0.01657082545631569, 0.02341302390693063, 0.01835739251006592, 0.020828518585678076, 0.006177170659530885];en-hi
[0.0025769654941707604, 0.018104620451263643, 0.004867422366272547, 0.006056919769815636, 0.01432778813465245, 0.02446403922884802, 0.02608352997373078, 0.022291036616178282, 0.01608494268308421, 0.023914682838678626, 0.02218083210327505, 0.02549954276997718, 0.00746423006580646];en-ar
[0.00304241836423545, 0.01288310315328243, 0.006247000003757567, 0.006003312566331787, 0.006351030731974234, 0.0026909356195954923, 0.0027571678000485565, 0.00370125600884019, 0.005089741751777671, 0.006128142983696252, 0.009028651686781186, 0.011727000711508194, 0.005409619208138865];en-ru
[0.006281180095221647, 0.010066296028923106, 0.005620099951931615, 0.010270720902252447, 0.01140719787964279, 0.003214490135334225, 0.0032207104390572935, 0.003214880732744332, 0.002724342417779164, 0.00275137213148627, 0.0032726894248910118, 0.004086926095192623, 0.00833692347304034];en-fr
[0.004039650957848913, 0.015153958901992176, 0.007056518687312959, 0.006005240706869716, 0.015056914303207825, 0.028422025347716776, 0.026536604391739844, 0.020380153351289405, 0.009856148188596339, 0.015420471923042167, 0.010800653647125336, 0.0132690825983033, 0.008630267069089044];en-hi
[0.0027023743763916037, 0.018385194555714086, 0.005337899752876458, 0.006160369453344282, 0.01476729423127732, 0.02097801720547568, 0.020642630283327346, 0.015852484896066974, 0.00898896010610991, 0.015326708989112503, 0.014793992730871335, 0.018207355209948334, 0.004843159260480541];en-ar
[0.0026947850005282184, 0.012964145830898367, 0.006059045006892663, 0.005452767135445949, 0.005912259456533099, 0.003950220785668558, 0.002530660663305361, 0.0033802318180237954, 0.006026830296388058, 0.0068401565997206985, 0.012127207075467418, 0.01770367535855002, 0.010417135838235288];en-ru
[0.005963686727557469, 0.00884981325928365, 0.005424024583695136, 0.010070877002335759, 0.010415400778102669, 0.0034106412103103146, 0.0032804105590431513, 0.002897313013799553, 0.0025804273944451317, 0.00216809955922801, 0.003549510878726451, 0.006466597316522875, 0.006189656705658133];en-fr
[0.0037265743669769842, 0.015622441794076666, 0.006321028394809423, 0.006200383666166523, 0.015408561360428799, 0.03183025537575673, 0.03137287238895472, 0.025929366613043577, 0.01591661748412273, 0.02243365792194644, 0.0191651742567664, 0.023974554781036175, 0.007356634039852019];en-hi
[0.002527076162170711, 0.016915864158132246, 0.0046523170644058726, 0.005813508997258524, 0.013996372141818134, 0.021841346215824172, 0.02311048871133477, 0.01944666773541037, 0.013846322271580157, 0.020845242865412304, 0.020710354841614396, 0.025119143541665594, 0.0042159091900008236];en-ar
[0.002892983846286845, 0.013355500931779072, 0.006056763505635698, 0.005854469440022933, 0.005941097768959604, 0.002658345296549928, 0.0029498681323477864, 0.004178794359945579, 0.005893190666788081, 0.007871802380110284, 0.010132976218536142, 0.01193624870036385, 0.0043407103205631865];en-ru
[0.006072512029436316, 0.01049979721159409, 0.005690464883325109, 0.009986625399478947, 0.010122485691764434, 0.0027502871493581263, 0.0023467159083010868, 0.0022005045643203594, 0.0026289863895367282, 0.0029220994859860527, 0.004855287796804548, 0.0063933873143207556, 0.006601258772879959];en-fr
[0.004258445695999824, 0.01733707068537391, 0.007161166775664321, 0.006170459162833814, 0.015481073751990879, 0.031872484895416886, 0.029917306153471927, 0.02393498387528705, 0.013208299921867993, 0.018950177351206927, 0.015205667901010125, 0.018519781643857456, 0.008691672660620504];en-hi
[0.002679256602370402, 0.018263174501201893, 0.004883579484566255, 0.005751740231696144, 0.013776028428204348, 0.022394951790112926, 0.023407769573200943, 0.019456427439000955, 0.013059761423516981, 0.020073261249479814, 0.018911926463698596, 0.022233603174050622, 0.0052898000966299175];en-ar
[0.002999364612609314, 0.014877137715532566, 0.006626548922019591, 0.005944287889701497, 0.005678073662968988, 0.0029727090414665867, 0.004485194825593326, 0.006105657526868392, 0.008157336616748119, 0.010549217298769432, 0.015195313704843706, 0.01793146791950829, 0.009332542376997844];en-ru
[0.006342722604152409, 0.011258605263429611, 0.00557487524470222, 0.010104061246189282, 0.00946560569661735, 0.00500021967003644, 0.005132359726334556, 0.005081771418053909, 0.0062583912224989345, 0.008306505553443096, 0.008930535194931487, 0.010167981772534333, 0.007494420768210748];en-fr
[0.00414880127492508, 0.01807746088722551, 0.00759180214014755, 0.005928528937533076, 0.015505327297803805, 0.032479624096709646, 0.03122507041469601, 0.025445292998876774, 0.014674494388534633, 0.020528033016138154, 0.01731431190557945, 0.020245160207600782, 0.006238124296152382];en-hi
[0.002598460197106381, 0.018709902265700514, 0.00513340060466096, 0.0059173185911659335, 0.014360944758048654, 0.023260432936267637, 0.02422441097531172, 0.019876829775011748, 0.013240363624887883, 0.020425322224663683, 0.02039017833138613, 0.02302636291968784, 0.007696849649161833];en-ar
[0.002797832089690603, 0.01454745346872572, 0.00685396243864099, 0.005573456030667357, 0.0054806503778975614, 0.0031760795313876215, 0.004975850317975884, 0.006871321409601037, 0.00899216273428896, 0.010156050459479104, 0.01589597384919108, 0.021406579884289935, 0.012646462777086752];en-ru
[0.005930411841403089, 0.01200442244897284, 0.005378030273877035, 0.009896343436601028, 0.010641485326751911, 0.0037850358238489153, 0.004093141106320553, 0.004586807092107032, 0.006774249522285992, 0.0073933925239833154, 0.010548917051402857, 0.014962325968661198, 0.007893694455968985];en-fr
[0.0038438848569851743, 0.018267320167264373, 0.007929616463352869, 0.006189080943083517, 0.015558462181967206, 0.0337298848945959, 0.03323041248650513, 0.02814656994116661, 0.01791402054785873, 0.02381748567324162, 0.021554513977134232, 0.02772512426820522, 0.0066913237539570495];en-hi
[0.002614837625314665, 0.0189257978683202, 0.005402846291890228, 0.006105842427321254, 0.013562785603615608, 0.022560874708405468, 0.024149850358247626, 0.02092661053032698, 0.015374463708748863, 0.022262091126231513, 0.02247002867459467, 0.028031776474276505, 0.011581332531854916];en-ar
[0.0026553199364516586, 0.012939340538524828, 0.006778817878420315, 0.0056046759796316735, 0.006040026672249768, 0.004025588599144249, 0.0024943886318675402, 0.0022705671731878454, 0.00393247808970102, 0.0047292431771539375, 0.009311375339165503, 0.012768389588605369, 0.007130856336428135];en-ru
[0.006036117710716062, 0.008585887814517076, 0.005220461438497829, 0.009806553817430178, 0.009792018227118613, 0.0028357891708942155, 0.002927292886351953, 0.003188212235383013, 0.0030207671365195866, 0.003538351870038756, 0.003650097121397052, 0.005671667291018796, 0.005422516767546708];en-fr
[0.003940505105843815, 0.016020866839577645, 0.007092418189782624, 0.006282655866071657, 0.015961036407320422, 0.029724334744133375, 0.027472693086889065, 0.02101001816406785, 0.00971520537845781, 0.014390469664863527, 0.01000752826346538, 0.013233527614486824, 0.005432289707410562];en-hi
[0.0026385345560204112, 0.01884033921752478, 0.00503353699801521, 0.0059044881841270195, 0.01317705887192301, 0.018391185117303366, 0.01977088739753049, 0.016465843754973817, 0.010980712970837438, 0.017490298828312843, 0.017001177806019424, 0.02158241301004547, 0.008330970346512036];en-ar
[0.00278658371080412, 0.01403439070066761, 0.006160351014467902, 0.005594965869871554, 0.005302800581080047, 0.0028338016964618512, 0.004238616403984879, 0.005076245373274313, 0.005838135305185262, 0.008023748514728911, 0.007076890031297162, 0.006971241559865626, 0.00522037505328883];en-ru
[0.006110052631927754, 0.011009793375138162, 0.005479107520036031, 0.009840684142133476, 0.009897389919395374, 0.003507224054512117, 0.00348385748589111, 0.0032091045892029464, 0.004399058705143799, 0.005918455865884582, 0.0033913812921432885, 0.004563221479368272, 0.010304077342039423];en-fr
[0.004072339149947365, 0.01661767261863751, 0.007248541286330185, 0.005891054534116555, 0.015290216419534456, 0.030970761997355732, 0.029391123385572895, 0.023108109739449437, 0.011862149733990931, 0.017591754850044702, 0.010106108721473567, 0.011838228035392348, 0.008666259431625141];en-hi
[0.002654332446449044, 0.019121659770881684, 0.004766111037522276, 0.005658846922367102, 0.014030086368187655, 0.022038246894526645, 0.023085116515737948, 0.01855395766700548, 0.011479325252752241, 0.018970562503970206, 0.014044451314403792, 0.015555963727209205, 0.005469293989005242];en-ar
[0.0028830552244784855, 0.011528941346865574, 0.006525343939139051, 0.005593542344397481, 0.005368506724408728, 0.0030309084769021295, 0.002273434058934845, 0.0022662802611605514, 0.003637046848909144, 0.005484526902166683, 0.006957331894938871, 0.007595713480010932, 0.00806822158646355];en-ru
[0.005685087105132727, 0.007997544497496019, 0.005197462120249137, 0.008842792806574113, 0.008671928862549317, 0.002181555822222132, 0.0018546527351125698, 0.001931344174327331, 0.0022033029309556206, 0.0029537938074782103, 0.003286602303186845, 0.0044178422515334295, 0.006632557865781729];en-fr
[0.004030514081270606, 0.014367556990151208, 0.006855866473863386, 0.00616627898365607, 0.016250765166571365, 0.03164761544688419, 0.030036204302315746, 0.023135267771954918, 0.010809213666716874, 0.017836337753992536, 0.008052245232524798, 0.008210641878477603, 0.007117934970413667];en-hi
[0.002539493957549248, 0.016187985838399078, 0.004943110676326815, 0.006118202026080627, 0.014164962025787278, 0.02158143761609955, 0.02265025510647734, 0.01760015858702357, 0.00959747041852508, 0.017867754783631118, 0.010567383283375371, 0.009615541085858558, 0.006190929761456359];en-ar
[0.002975355599571068, 0.013443511701992771, 0.0059629603149491525, 0.005845786335688567, 0.005733606950253214, 0.0032409242467498814, 0.004436185954683691, 0.0063357362202044465, 0.008951025205324379, 0.011932802676327268, 0.016473806702635638, 0.019830345904596446, 0.007961798193131073];en-ru
[0.005808035647907447, 0.008917618860452899, 0.005428586489977369, 0.009621750708408129, 0.009666138955715563, 0.0022441764465618297, 0.0021846337143810258, 0.0022902572389954163, 0.0025447595684634054, 0.002711775580411423, 0.003776452058257228, 0.004088952651114779, 0.008984112968259043];en-fr
[0.003859657691469838, 0.017564401476120334, 0.007351663905273676, 0.005924132803703352, 0.015654385264419843, 0.032984846603173676, 0.03245652987294544, 0.027317880870193788, 0.017290426552539137, 0.024786491020380167, 0.020448374303170504, 0.024530022624711514, 0.007690445111368989];en-hi
[0.002531537752983783, 0.01645197021286903, 0.005047136862569949, 0.00592323364926536, 0.013955070851818397, 0.02412898273722792, 0.025700135233350158, 0.02216039974987354, 0.01669856354076345, 0.02543325901113031, 0.02382817343492239, 0.02757833093450052, 0.010368444966486506];en-ar
