Value;Language Pair
[0.002871798099806055, 0.016052383757105413, 0.006396848434766884, 0.005931665300511997, 0.004676386799061968, 0.006706246373309597, 0.0060822414444620665, 0.009263987871201097, 0.014821157147424569, 0.020185381709383585, 0.05193604768622849, 0.07266307183525138, 0.03753908943563968];en-ru
[0.006409764375108131, 0.012007061412981919, 0.005331054170305883, 0.011732161010873324, 0.010524419792003865, 0.004484354844526449, 0.01078182755626843, 0.02124137723904641, 0.03138726000439672, 0.04415838347982222, 0.05233632180288098, 0.05268959849381166, 0.07308831597713242];en-fr
[0.0038483771250575794, 0.020326728076618943, 0.008260014208624118, 0.008069577726055412, 0.011374610054306839, 0.05824402808106993, 0.07342191234695619, 0.0833364370750699, 0.09183638270005914, 0.11215676924148905, 0.11119655761287647, 0.11539446014055839, 0.08330902529421409];en-hi
[0.002661478498678166, 0.01997418960190095, 0.004875499943775429, 0.00569702858466933, 0.009884397737898891, 0.05131204795850271, 0.06257658438063458, 0.0684419752638329, 0.07613146306728466, 0.09547690397029372, 0.0926028930858266, 0.0943841417190091, 0.058079611740757174];en-ar
[0.0029002337698553187, 0.014230271596429488, 0.007158240639141678, 0.005508809870335857, 0.004437826511683835, 0.005175228909275977, 0.011799482995925257, 0.015001182161976174, 0.022257564284537797, 0.02748064950759234, 0.06329789304221478, 0.08143222483131538, 0.046286910577384384];en-ru
[0.005767245349803411, 0.009639083409103326, 0.004693808835188171, 0.010368633946664423, 0.009216522715100987, 0.0025671206782933538, 0.006186267705323886, 0.01434722873394664, 0.023130885986253305, 0.03088229069598162, 0.04350654743223002, 0.04524928269428779, 0.06602231201409126];en-fr
[0.004147879414747815, 0.018053425221830906, 0.007824287704660806, 0.007586634258320911, 0.010501125860221255, 0.054448092568892395, 0.0686378528809733, 0.07767303586186812, 0.08441899891347546, 0.10410384062225159, 0.10480026442398828, 0.11055354762311952, 0.07316838976294802];en-hi
[0.002630613060164184, 0.01934526589090294, 0.005669256598330305, 0.005720154839333983, 0.009614539256173187, 0.04955679931052556, 0.06141373799671563, 0.06819617818643393, 0.07593024798090915, 0.09728481806357828, 0.09902788930097975, 0.10368193061522998, 0.06468010886051274];en-ar
[0.0030107887520199614, 0.017075763073468798, 0.006283871144468238, 0.006208180233293829, 0.005037303910133118, 0.005497879978328877, 0.010012930038090336, 0.013390135750500987, 0.022159424984346057, 0.025683559265057172, 0.06857135425353546, 0.08935315801367553, 0.06432572593496738];en-ru
[0.0062457660055387455, 0.011848496854014528, 0.005172995314161507, 0.01252822889188471, 0.011915269994637372, 0.0047130236230563324, 0.009656901167074915, 0.019426320800418707, 0.027746246032725512, 0.04093595335875143, 0.04271509338710671, 0.041181924213749936, 0.06255356075723736];en-fr
