text,class
Nicaragua és un estat d'Amèrica.,Easy
"Un referèndum és una votació que convoca el parlament o el cap d'un estat d'un país per saber l'opinió dels ciutadans sobre un tema en concret. Normalment, els referèndums tenen una pregunta i dues respostes: sí o no. Normalment els referèndums se celebren només sobre temes importants, perquè el poder legislatiu de la majoria de països el té el parlament. Per fer la votació, s'obren una sèrie de llocs que es diuen col·legis electorals en el qual es posen urnes, unes caixes amb una ranura a la part de dalt. Llavors, la gent ha d'anar al col·legi electoral, marcar la seva opinió en una papereta, i deixar la papereta a dins l'urna. Al final es compten tots els vots i se sumen. D'aquesta manera es pot saber què pensen els ciutadans d'un país sobre un tema determinat. Hi ha dos tipus de referèndum:",Easy
"L'amnèsia és una malaltia en què una persona perd la memòria. Això fa que sigui difícil recordar coses, persones o dates. A vegades l'amnèsia es cura sola, però quan no es cura sola no es pot curar amb medicaments.",Easy
"El cap d'any és el dia en el que comença un nou any. En el calendari gregorià, que és el calendari que es fa servir a Europa, el cap d'any és l'1 de gener. A les dotze de la nit de cap d'any hi ha la tradició de menjar un gra de raïm per cada campanada. Com que sonen dotze campanades, es mengen dotze grans de raïm.",Easy
La fotosíntesi es el nom del procés que fan les plantes per alimentar-se.,Easy
"Dragon Ball (ドラゴンボール , Doragon Bōru?, Bola de Drac) és una sèrie manga escrita i dibuixada per Akira Toriyama. A més, la sèrie té 4 animes. La història de Bola de Drac explica la vida d'en Son Goku, i la seva recerca de les 7 boles de drac, què qui les troba li pot demanar un desig al drac Xenron.",Easy
Equador és un estat d'Amèrica. El seu president és Lenín Moreno.,Easy
"L'alfabet ciríl·lic és l'alfabet que fan servir algunes llengües eslaves. Es va crear al segle IX, i està inspirat en l'alfabet grec. La llegenda diu que l'alfabet el va inventar Ciril de Tessalònica, un filòsof eslau, però no se sap segur. També es diu que el va crear Climent d'Ohrid, un seguidor de Ciril, i que li va posar el nom de Ciril per respecte. Aquestes són les lletres de l'alfabet ciríl·lic:",Easy
Un électron c’est un canal photoélectrique qui traverse le neutron grâce à l’effet tunnel. Son potentiel d’incertitude quantique est nul si et seulement si la gravité est supérieure et inférieure à zéro.,Easy
Un dia és el temps que tarda la Terra en donar una volta sobre ella mateixa. Un dia dura 24 hores.,Easy
"New Delhi és la capital de l'Índia. Està al costat del riu Yamuna. Té 13,8 milions d'habitants. L'idioma més parlat a la ciutat és l'hindi. Nova Delhi era set ciutats que es deien Lalkot, Siri, Tuglakabad, Ferozabad,Lodi, Shahjanadabad i Delhi. El 1931, els anglesos van construir-hi una ciutat i li van posar el nom de New Delhi, que en català vol dir Nova Delhi.",Easy
"Madagascar és un estat d'Àfrica. El país té una extensió de 587.041 km², i una població de 18 606 000 habitants. Les seves llengües principals són el malgache, el françés, i l'anglès",Easy
Equador és un estat d'Amèrica. El seu president és Lenín Moreno.,Easy
Ligúria (en italià: Liguria) és una regió d'Itàlia. La seva capital és Gènova. L'any 2013 tenia una població de 1.600.000 habitants.,Easy
Boig Per Ànec Margarida (Anglès:Crazy Over Daisy) és un curtmetratge d'animació que forma part de la sèrie de Walt Disney. Una història musical allà Donald i ells Margarida es traslladen a l'època del tombant del segle passat. Chip y Chop fer tot el possible per prevenir Donlad per jutjar la seva Margarida.,Easy
Londres és la capital de Regne Unit.,Easy
"L'alfabet àrab és l'alfabet que es fa servir per escriure els idiomes àrab, persa i altres idiomes que es parlen al nord d'Àfrica i al sud d'Àsia. És el tercer alfabet més utilitzat del món, després de l'alfabet llatí i el xinès. L'alfabet àrab s'escriu al revés que el llatí: de dreta a esquerra. Hi ha 28 lletres, i normalment no s'escriuen les vocals. 1: Les lletres àrabs canvien de forma quan estan al costat d'altres lletres. En les columnes ""Inicial"", ""Medial"" i ""Final"" hi ha aquests canvis depenent de si la lletra va després o abans d'una altra lletra (en la mateixa paraula). 2: Les lletres vermelles a les formes inicial i medial no van lligades a la següent lletres. Llavors, la següent lletra agafa la forma ""inicial"" encara que estigui al mig d'una paraula.",Easy
"La dislèxia o ceguesa de paraules és un trastorn en el qual les persones tenen problemes importants per llegir i escriure. La dislèxia sovint es descriu com ""no saber llegir i escriure bé"". Això no és del tot correcte, ja que les persones sense dislèxia també poden tenir dificultats amb això. Les persones amb dislèxia tenen dificultats per fer sons de la parla a partir de lletres i paraules en paper. No poden dir immediatament una paraula al paper en veu alta ni escriure una paraula parlada immediatament. Les persones amb dislèxia difereixen lletres que sonen (aproximadament) igual entre elles o inverteixen l'ordre dels sons. També teniu problemes per recordar quines lletres van amb quins sons",Easy
"El canvi climàtic consisteix en que l'atmosfera es va fent cada cop més gruixuda perquè els gasos naturals (que produïm amb als cotxes, vaixells, avions, i fabriques)pugem i s'ajunten amb aquella capa de gasos fen que cada cop sigui mes gruixuda. l'atmosfera permet que els rajo del sol entrin però els i costa sortir i això fa que pugin les temperatures i és produeixen espessies invasores i d'altres s'estiguin, seques, incendis forestals i temporals. D'això se'n diu canvi climàtic. qui fa el canvi climàtic?: les persones (nosaltres). el canvi climàtic és perillós, 4.500 milions d'anys la temperatura ha baixat i pujat.",Easy
Wellington és la ciutat de Nova Zelanda.,Easy
"Un municipi és el territori d'un poble o una ciutat. Tot i així, a vegades hi ha més d'un poble en un sol municipi. L'Ajuntament s'encarrega de governar el municipi.",Easy
"Kosovo és un estat d'Europa. Abans pertanyia a Sèrbia, però el 17 de febrer de 2008 va separar-se (tot i que Sèrbia no hi està d'acord). La seva capital és Pristina, i té una població d'uns 1.815.048 habitans.",Easy
