text,class
"Jessica Biel is an actress. She was on the TV show, 7th Heaven.",Easy
Honda is a car company. The civic is a kind of Honda model.,Easy
A minigame is a game that is part of another game.,Easy
"Puppis is a constellation that can be seen in the southern sky. It is one of the 88 modern constellations recognized by the International Astronomical Union. Argo Navis was sub-divided in 1752 by the French astronomer Nicolas Louis de Lacaille, forming Puppis.",Easy
"Orkney, also known as the Orkney Islands, are an archipelago, situated off the coast of Scotland. Orkney is a part of the Northern Isles and the islands are a part of the United Kingdom. The archipelago exists of like 70 islands. The archipelago is influenced by Scandinavian countries, for Norway annexed the country in 875. Today, a Old Norse dialect is still spoken.",Easy
"While Stan Lee is more known for creating heroes like Spider-Man, Fantastic Four, Hulk, Iron Man and Thor he’s also responsible for the creation of many of their enemies.",Easy
Oulu is a city in Finland.,Easy
"Bangui (or Bangî in Sango, formerly written Bangi in English) is the capital city of the Central African Republic. It was named after the Ubangi River, which is also known as the Oubangui River. It had a population of 622,771 as of 2006. The city was founded in 1889 in what was then Haut-Oubangui ('Upper Ubangi'). The colony was later renamed Oubangui-Chari and made part of French Equatorial Africa.",Easy
"Franz Ferdinand (December 18, 1863 – June 28, 1914) was an Archduke of Austria. Before he died, he was next in line to be emperor of Austria-Hungary (a former country in central Europe). In 1914, he was assassinated in Sarajevo by Gavrilo Princip, a Serb. His assassination is considered the reason why World War I started.",Easy
Cement is a material that makes materials hard and helps them to stick together. Portland cement is the most common kind. It is made of quicklime and clay. Cement is used to make concrete and mortar.,Easy
Essen is a city in the federal state of North Rhine-Westphalia in Germany.,Easy
"The Ballets Russes was an early 20th century ballet company notable for commissioning and staging some of the greatest ballets of the 20th century including Les Sylphides, Le Spectre de la Rose, Petrushka The Rite of Spring, and The Firebird. Great talents associated with the company included impresario Sergei Diaghilev, dancers Vaslav Nijinsky, Tamara Karsavina, Anna Pavlova, artists Pablo Picasso, Henri Matisse, and composers Claude Debussy and Igor Stravinsky. The company performed between 1909 and 1929.",Easy
"A conspiracy is when there is a lot of people who are working on something in secret and they don't tell anybody about. It can also be a lie that starts as just an idea or a rumour, in order to trick people into doing something. It is also called a conspiracy theory, because sometimes it is just an idea that is not true and that is very difficult to prove or disprove because if it was true then it is supposed to be a secret, which provides an excuse for the lack of proof. There have been many conspiracies in the history of the world and they are usually connected to people trying to take things from other people without the other people noticing until it is too late. There are a lot of conspiracy theories because anybody can make one up and it because it is supposed to be secret. A good example is the word tank. Today everybody knows that a tank is a vehicle with a turret on it, a cannon, but when the first tanks were built, they didn't want people to know that they are building weapons, so they said that they are building water tanks. Some things look like conspiracies, but can be explained by sociology, which studies how people behave in large numbers.",Easy
93 is an odd number. It comes after the 92 and before 94.,Easy
"Muhammad Ataul Gani Osmani (1918–1984) was a distinguished military officer and a key figure in the Bangladesh Liberation War of 1971. Born on September 1, 1918, in Sunamganj, British India (present-day Bangladesh), Osmani played a crucial role in the formation of the Bangladesh Armed Forces and served as the Supreme Commander of the Mukti Bahini (Liberation Army) during the War of Independence. Muhammad Ataul Gani Osmani was born into a respected Bengali Muslim family. He completed his early education in Sunamganj and later attended the University of Dhaka, where he studied economics. Osmani was commissioned into the British Indian Army during World War II, where he displayed exceptional leadership skills and received various commendations for his service. After the partition of British India in 1947, Osmani chose to join the Pakistan Army. Throughout his military career, he held several important positions and earned a reputation as a capable and conscientious officer. However, as tensions escalated between East and West Pakistan, Osmani increasingly became a proponent of the autonomy of East Pakistan. When the Bangladesh Liberation War erupted in 1971, Osmani played a pivotal role in organizing and leading the Mukti Bahini, the armed resistance against the oppressive Pakistani regime. His leadership was instrumental in coordinating the guerilla warfare and ultimately contributing to the victory of Bangladesh. Osmani's vision for an independent Bangladesh included the establishment of a solid and self-reliant armed forces. After the war, he played a vital role in forming the Bangladesh Armed Forces and became its first Chief of Army Staff, holding the rank of General. His efforts were crucial in rebuilding the military infrastructure of the newly independent nation. Osmani's commitment to democracy and justice continued after the war. He served as an advisory council member and later as a parliamentarian. However, he resigned from political office in 1974 due to differences with the government. Muhammad Ataul Gani Osmani is remembered as a national hero in Bangladesh for his unwavering dedication to the cause of independence. His leadership and strategic acumen during the Liberation War remain integral to the country's history. The Bangladesh Military Academy in Chittagong is named after him for his contributions. General Osmani passed away on February 16, 1984, leaving a legacy of courage, integrity, and devotion to the ideals of a free and sovereign Bangladesh. His contributions to the nation's independence and the formation of its armed forces continue to inspire generations.",Easy
"Star Trek is a science fiction saga about exploring outer space. It tells the story of humans achieving faster-than-light aviation technology, so spacecraft can go beyond the Solar System and explore the galaxy. The technology is called ""warp drive."" Star Trek started as an American television series and branched out into several spinoffs. These cover earlier, parallel, and later periods. Several Start Trek movies have been made, developing the events of the television series.",Easy
"Xbox Live is an online service for downloading games and playing games online. It is made available by Microsoft for the users of its gaming consoles Xbox, Xbox 360, Xbox One.",Easy
Klaipėda is a city in Lithuania.,Easy
"Health is the good physiological and psychic state of a living being. It is the opposite of disease. Good health is maintained by taking care of your body (eating fruit, playing sports, etc.). When one is sick, it is advisable to go to see a doctor or to rest.",Easy
"If you feel there is more to do, indicate what by adding the ""todo"" parameter to this template (add also its ""date"" parameter). Otherwise just remove this template from the page. Windows 10 is The Newest Computer, Developed And Created By Microsoft as Part of The Windows NT Family of operating systems! in Windows 10 Microsoft Edge is delete and Have New Browser! Microsoft Edge! Windows 7 8 8+ in 2015-2016 Have Upgrade To Windows 10.. 27% of People With Computers Have Windows 10",Easy
Cement is a material that makes materials hard and helps them to stick together. Portland cement is the most common kind. It is made of quicklime and clay. Cement is used to make concrete and mortar.,Easy
"The Battle of Appomattox Court House was fought on the morning of April 9, 1865. It was the final engagement of Confederate States Army General Robert E. Lee's Army of Northern Virginia before it surrendered to the Union Army under Lt. Gen. Ulysses S. Grant. It was one of the last battles of the American Civil War.",Easy
The 15th century is the century from the years CE 1401 to CE 1500.,Easy
80 is a number pair. It comes after the 79 and before 81.,Easy
Newcastle upon Tyne is a city in England in the United Kingdom.,Easy
"The Democratic Party is one of the two major political parties in the United States. The other one is the Republican Party. They are associated with being left wing and liberal, however their economic policies are often centrist or even center-right. The current chairperson is Debbie Wasserman Schultz, a Florida congresswoman.",Easy
Pablo Picasso (1881 - 1973) was a Spanish painter and sculptor. He spent most of his life in France. He belonged to the art movement called Cubism. His best known works are Les Demoiselles d'Avignon (1907) and Guernica (1937).,Easy
