text,class
" El Antiguo Egipto fue una civilización que se originó a lo largo del medio y bajo río Nilo, y alcanzó tres periodos de esplendor faraónico en los periodos denominados: Imperio Antiguo, Imperio Medio e Imperio Nuevo. Alcanzaba desde el delta del Nilo por el norte hasta la isla Elefantina (Asuan, en la primera catarata del Nilo, por el sur), llegando a influir desde el Éufrates hasta Gebel Barkal, en la cuarta catarata del Nilo, en épocas de máxima expansión. Su territorio también rodeó, en diferentes períodos, el desierto oriental y la costa del Mar Rojo, la península del Sinaí y un gran territorio occidental que dominaba los oasis dispersos. Históricamente, se dividió en Alto (sur) y Bajo Egipto (norte). La civilización egipcia se desarrolló durante más de 3.000 años. Comenzó con la unificación de varias ciudades en el Valle del Nilo, alrededor del 3150 a.C. C., y se da por terminado en el 31 a. C., cuando el Imperio Romano conquista y absorbe el Egipto ptolemaico, que desaparece como estado. Este evento no representó el primer período de dominación extranjera. Fue el que propició una transformación paulatina en la vida política y religiosa del valle del Nilo, marcando el final del desarrollo independiente de su cultura.",Easy
 18 de diciembre es el 352º día del año (353º en años bisiestos). Faltan 13 días para que finalice el año.,Easy
 Edward Drinker Cope fue un paleontólogo estadounidense.,Easy
" Válvulasaurículo-ventriculares Válvula bicúspide o mitralVálvula tricúspide Válvula aórtica o sigmoideaVálvula pulmonar Las válvulas cardíacas son las encargadas de permitir o interrumpir de manera coordinada la circulación sanguínea por el corazón. Su función principal es impedir el retroceso de la sangre. Sin ellas, el fluido sanguíneo se estancaría y no llegaría a todo el organismo. Son clasificadas en dos tipos: las aurículoventriculares y las semilunares. Al primer grupo pertenecen las válvulas bicúspide y tricúspide; mientras que las aórtica y pulmonar corresponden al segundo. Las válvulas aurículoventriculares son estructuras finas ubicadas entre las aurículas y los ventrículos que comunican la aurícula izquierda con el ventrículo izquierdo y la aurícula derecha con el ventrículo derecho. Son las encargadas de regular el paso de la sangre en cada lado del corazón. La que está situada en el lado izquierdo es llamada válvula bicúspide o mitral, y la del derecho, válvula tricúspide. La válvula bicúspide (del latín, bis, dos, y cúspis, punta) —antiguamente denominada mitral (del griego, tiara), por su forma de mitra, un gorro alto usado por los persas— está situada entre el ventrículo izquierdo y la aurícula izquierda. Consta de dos membranas que reciben cuerdas tendinosas de los músculos del ventrículo izquierdo. Es la más fuerte y gruesa de las válvulas, por estar en el lado en que el corazón está sometido a más presión. Sus funciones son las de permitir el paso del flujo sanguíneo —oxigenado, proveniente de los pulmones— desde la aurícula izquierda al ventrículo izquierdo y la de impedir que la sangre circule en sentido contrario, es decir, evitar que vuelva a la aurícula. Una de las enfermedades más frecuentes de esta válvula es el prolapso valvular mitral. Ante un excesivo aumento de volumen cardíaco, las paredes se agrandan e impiden que la válvula se cierre. El síntoma más habitual es el soplo. La deficiencia es generalmente hereditaria y debe ser tratada con medicamentos. Otra de las afecciones más comunes es la estenosis mitral, en la que la sangre no accede al ventrículo izquierdo. La válvula bicúspide permanece cerrada por quedar adheridos sus velos a ella. La enfermedad es producida por una virosis reumática que provoca el cierre progresivo del anillo mitral. Si no es detectada a tiempo puede provocar dilatación auricular y lesiones pulmonares. La válvula tricúspide (del latín, ter, tres, y cúspis, punta) está entre la aurícula derecha y el ventrículo derecho. Está constituida por tres membranas de forma irregular que reciben cuerdas tendinosas del ventrículo derecho. Permite el paso de la sangre —con impurezas y alto contenido de dióxido de carbono tras su recorrido por el cuerpo— desde la aurícula derecha al ventrículo derecho e imposibilita que la corriente sanguínea no dé marcha atrás, o sea, que no retorne a la aurícula. La enfermedad más común que puede afectarla es la fiebre reumática, causada por un paso no normal de la sangre. Las válvulas semilunares comunican el interior de los ventrículos con el interior de las arterias aorta y pulmonar, dos gruesos tubos por los que la sangre se aleja del corazón. La válvula aórtica o sigmoidea es la encargada de regular el paso de sangre entre el ventrículo izquierdo y la arteria aorta, mientras que la pulmonar cumple la misma función entre el ventrículo derecho y las arterias pulmonares. Aunque su conformación es similar al de las válvulas aurículoventriculares, sus membranas son más finas y no poseen cuerdas tendinosas. La válvula aórtica —también llamada sigmoidea, por su forma de sigma (Σ), la decimoctava letra del alfabeto griego, equivalente a la s— está ubicada entre el ventrículo izquierdo y la arteria aorta. Permite el paso de sangre oxigenada proveniente de los pulmones entre ese ventrículo y la arteria aorta; y también, impide que retorne a él. Constituye el comienzo del circuito general ya que, a partir de la aorta, el flujo sanguíneo se distribuye por otras arterias y capilares al cuerpo. Las enfermedades más comunes de esta válvula son la regurgitación valvular aórtica y la estenosis valvular aórtica. La regurgitación se produce cuando la sangre vuelve al ventrículo izquierdo sin haber recorrido la aorta. Esta deficiencia genera importantes irregularidades al organismo. La afección es paliada a través de la sustitución de la válvula por otra, natural o mecánica. En cambio, la estenosis ocurre si la válvula se obstruye, impidiendo el paso de la sangre. Para normalizar el flujo sanguíneo debe llevarse a cabo un tratamiento similar al de la regurgitación. La válvula pulmonar está ubicada entre el ventrículo derecho y la arteria pulmonar. Cuando este ventrículo se contrae, la válvula se abre y permite el paso de sangre en un solo sentido: habilita la circulación sanguínea —cargada de impurezas y dióxido de carbono— desde el corazón hacia los pulmones, pero impide que la sangre oxigenada procedente de ellos circule por el corazón. Está formada por tres membranas: dos posteriores y una anterior. Conforma el inicio del circuito pulmonar ya que, a partir de allí, el flujo sanguíneo se distribuye por arterias y venas pulmonares hacia los pulmones, donde es oxigenado. El cierre de las válvulas genera ruidos cardíacos, comúnmente denominados latidos. En cada latido pueden percibirse dos sonidos: el primero es producido por el cierre de las válvulas aurículoventriculares, mientras que el segundo por el de la semilunares. Al cerrarse las válvulas, las paredes del corazón y los vasos sanguíneos que la rodean vibran. El primer ruido es de baja frecuencia. El cierre de las válvulas aurículoventriculares genera la contracción de los ventrículos y un brusco movimiento de la sangre en ellos. Ese efecto genera ondas sonoras que, cuando llegan a las paredes del corazón, pueden percibirse a través de un estetocopio, un instrumento que permite escuchar los latidos. El segundo ruido cardíaco es de mayor frecuencia. Las ondas sonoras son producto del cierre de las válvulas semilunares al generar un súbito cambio del movimiento de la sangre en el ventrículo, especialmente en la región comprendida por las mencionadas válvulas y las arterias aorta y pulmonar. No existen superposición entre los ruidos. Entre ambos hay un intervalo de silencio; y entre latidos, el silencio es aproximadamente el doble que el de entre ruidos.",Easy
" Las branquias son los órganos respiratorios de los peces, los anfibios y otros animales que respiran el oxígeno del agua. Tienen partes plumosas que toman el oxígeno disuelto en el agua que el animal introduce en su boca y saca por las agallas. Por medio de las branquias el oxígeno se absorbe en la sangre del animal, ocasionando que el dióxido de carbono salga fuera de la sangre del animal y quede en el agua. Las branquias de los peces y las ranas están ocultas a los lados de sus cabezas. Los tiburones tienen muchas hendiduras branquiales en el cuello. Las salamandras bebés tienen branquias que sobresalen como hojas de sus cabezas. Algunos insectos que viven en el agua tienen un plastrón, que es un tipo de branquia. Es un conjunto de pelos especiales que mantiene el agua lejos de los espiráculos del insecto. Esto les permite continuar recibiendo oxígeno y eliminar el dióxido de carbono mientras están bajo el agua.",Easy
" El grindcore es un género músical originado en los años 80. En las canciones de Grindcore, se suelen usar sonidos graves y rápidos, y los vocalistas suelen cantar con voces guturales. Actualmente su popularidad es baja.",Easy
" El número de masa o número másico (símbolo: A) de un átomo es la suma del número de protones y el número de neutrones en el núcleo.:20 El número de masa es diferente para cada isótopo de un elemento químico. Escribimos un número de masa después del nombre de un elemento o como superíndice a la izquierda del símbolo de un elemento. Por ejemplo, el isótopo más común del carbono tiene 6 protones y 6 neutrones. Lo escribimos como carbono-12 o 12C. El número de masa no es el mismo que: La diferencia entre el número de masa y el número atómico da el número de neutrones (N) en un núcleo dado: N = A - Z.:44 El número de masa no se muestra en la tabla periódica.:21 Para cada elemento, lo que se muestra es el peso atómico estándar y el número atómico.",Easy
" México participa en la Olimpiada Matemática Internacional desde 1981, habiendo tomado parte en todas las ediciones celebradas desde ese momento. El líder del equipo es Rogelio Valdez Delgado desde 2023. Actualmente, Francia tiene 5 medallas de oro, 33 medallas de plata, 78 medallas de bronce y 40 menciones de honor. Las mejores representaciones de un mexicano en una Olimpiada Matemática Internacional han sido la de Pablo Soberón Bravo, al obtener la primera medalla de oro para México en 2006,​ la de Diego Alonso Roque Montoya, al obtener la segunda en la Olimpiada Matemática Internacional de 2012,​ la de Juan Carlos Ortiz Rhoton al obtener la tercera en la Olimpiada Matemática Internacional de 2015,​, Tomás Cantú Rodríguez al obtener la cuarta en la Olimpiada Matemática Internacional de 2020 y Rogelio Guerrero Reyes con la quinta en la Olimpiada Matemática Internacional de 2023. En el 2023 se obtuvo la mejor participación de México en la Olimpiada Matemática Internacional, obteniendo el decimocuarto lugar de los países que participan.",Easy
" Nokia 3310 fue un teléfono celular creado por la empresa Nokia y lanzado al mercado a finales del año 2000. Es un celular muy raro de tener, ya que esta se descontinuó años después, pero algunas veces se pueden obtener por internet a un precio peculiar. Es el celular más conocido de Nokia, y de internet Es un celular que funciona con una pantalla LCD monocolor, como la Game Boy. Tenía una interfaz simple que permitía hacer llamadas, enviar SMS, e incluso poder jugar a juegos simples como Snake. Como este celular tiene un LCD monocolor y no puede verse en la oscuridad, el celular tiene una luz integrada que ilumina toda la pantalla, al igual que sus botones. Su batería le permite tener una duración de 10 horas entre carga y carga, teniendo el celular encendido, y 7 horas si esta tiene la luz integrada. El 3310 fue un fenómeno de internet por ser bautizada como ""El celular indestructible"", sabiendo que esta estaba fabricada con un plástico muy duro que resulta difícil de romper, sin importar si se te cae de la mano o le das un golpe muy fuerte contra otra superficie. Los videos que se encuentra en YouTube también presenta al 3310 junto a los smartphones modernos, donde se someten a una ""prueba de tortura"", en donde muestra su resistencia a varias pruebas de golpes, calor y sumersión.",Easy
" Los Titanes en la mitología griega eran poderosas deidades hijos de Urano y Gea, que gobernaron antes de los dioses olímpicos, según Hesíodo eran doce, seis hermanas llamadas Tea, Temis, Mnemosine, Febe, Tetis y Rea y 6 hermanos llamados Océano, Crío, Ceo, Hiperión, Jápeto, Cronos, muchos de los Titanes se unieron con sus hermanas y formaron familias. Tea: Ella era la Titánide de la vista, el brillo y terminó casada con su hermano Hiperión. Temis: Ella era la Titánide de la ley y la justicia y fue la segunda esposa del dios Zeus, aunque después se separaron. Mnemosine: Ella era la Titánide de la memoria y el conocimiento. Febe: Ella era la Titánide de la profecía y terminó casada con su hermano Ceo. Tetis: Ella es la Titánide del mar y terminó casada con su hermano Océano. Rea: Ella era la Titánide de la naturaleza y terminó casada con Cronos. Océano: Él era el primer titán, su dominio era el océano y terminó casado con su hermana Tetis y tuvo muchos hijos dioses-ríos como las náyades o las Oceánidas. Crío: Él era el titán de el sur y terminó casado con la diosa Euribia y tuvo a los dioses Astreo, Palas y Perses. Ceo: Él era el titán del Norte y terminó casado con su hermana Febe y tuvo una hija llamada Leto. Hiperión: Él era el titán de el Este y terminó casado con su hermana Tetis y tuvo a tres hijos llamados Helios, Eos y Selene. Jápeto: Él era el titán del Oeste y terminó casado con Clímene y tuvo 4 hijos llamados Atlas, Prometeo, Epimeteo y Menecio. Cronos: El era el titán de el tiempo, era el menor de todos pero era el que tuvo la idea de descuartizar a su padre, Terminó casado con su hermana Rea y tuvo a seis hijos llamados, Hestia, Deméter, Hera, Hades, Poseidón y Zeus.",Easy
