Sampled Text,Function ID
"Zientzialaria metodo zientifikoen bitartez jakintza berriak lortzeko lan egiten duen pertsona da. Zientzialariek, oro har, natura ezagutzeko ikerketa-lanak egiten dituzte. Askotan, zientzialariak laborategietan lan egiten duten pertsonak direla uste izaten da, baina gauzak ez dira beti horrela izaten; antropologoak, biologoak, fisikariak, paleontologoak, arkeologoak, soziologoak eta beste zientzialari asko ez dira laborategietan aritzen beren ikerketak egiteko.",Easy
"Esporak alga, onddo, protozooren eta lorerik ematen ez duten hainbat landareren, ugaltze-zelulak dira, gehienetan zelulabakarrak. Esporak lurrera erortzen direnean, erdibitu egiten dira eta beste zelula batekin elkartu beharrik gabe ernatzen dira. Esporak landare, alga, onddo eta protozooen egitura berezi batzuetan ekoizten dira, esporangioak direlakoetan, hain zuzen ere. Baldintza egokietan, esporak egoera latentean egon daitezke eta denbora luzea igaro eta gero ernatu.",Easy
"Asterix komiki bateko pertsonaia bat da. Marrazki bizidunetan eta filmetan ere atera da. Komikiak 1959an hasi ziren argitaratzen: René Goscinny arduratzen zen gidoia idazteaz, eta Albert Uderzo marrazkiak egiteaz. Goscinny hildakoan, 1980an, Uderzo hasi zen marrazkiez gain gidoia ere idazten. Asterix frantsesezko komikirik ospetsuena da: sortu zenetik, 320 milioi album saldu ditu munduan. Euskaraz, 1976an argitaratu zuten aurreneko alea, Iñaki Beobideren ekimenez, Jesus Mari Arrietak euskaratua: Asterix eta Kleopatra izeneko alea. Asterixen istorioak K.a. 50. urte inguruan girotuta daude, Julio Zesarren garaian. Galian gertatzen dira. Garai hartan, erromatarrek Galia osoa zeukaten menderatuta, herrixka bat izan ezik... Asterix eta Obelixen herrixka, hain zuzen. Panoramix izeneko druidak edabe magiko bat egiten du, eta hura edaten duenari sekulako indarra ematen dio. Edabe horri esker, Asterixen herriko galiarrak beti irabazle ateratzen dira erromatarren aurkako borroketan. Hona hemen komiki hauetako pertsonaia nagusiak. Haien izenek galiarren izenen antza dute, -ix bukaeragatik, baina haietan hitz-jokoak daude, parentesietan ikusiko duzuen bezala:",Easy
"Hizkuntza estandarra komunitate batean gehien zabaldua eta era formalean nagusiena den hizkuntzaren aldaera da. Aldaera hau gehien erabiltzen da hezkuntza (eskolak, unibertsitateak...), hedabideetan (irratia, telebista, egunkaria...) eta administrazioan (udaletxean...) bezalako arloetan. Adibidez, euskarari dagokionean, hizkuntza estandarra euskara batua da.",Easy
"Elba Erdialdeko Europako ibai handi bat da. Erraldoien Mendietan jaiotzen da, Txekiar Errepublikaren eta Poloniaren arteko mugan; bertan ""Labe"" izena du. Gero, hego-ekialdetik ipar-mendebaldera doa Alemania zeharkatuz eta, 1.000 kilometro inguru egin ondoren, Ipar Itsasoan isurtzen ditu urak. Hainbat hiri zeharkatzen ditu: esaterako, Dresden, Magdeburg eta Hanburgo. Ibaiadarrik garrantzitsuenak Moldava, Saale eta Havel dira. Ibaian hiru zati bereizten dira: Elba Garaia, Elba Erdia eta Elba Beherea. Elba Garaia Erraldoien Mendietan jaio eta Meissen hirian (Saxonia) amaitzen da. Horraino, Elbak batez ere mendiak zeharkatzen ditu eta haran estuetatik ere igaro behar du. Elba Erdia Meissen hiritik ia Hanburgoraino doa; han ibaia zabala, lasaia eta laua da. Elba Beherea Hanburgotik Ipar Itsasoraino doan zatia da; eremu honetan bereziki sakona eta zabala da. Ibai-ahoan, Cuxhaven herriaren inguruan, Elbak 15 kilometro zabal ditu. Erdi Arotik Elba garrantzitsua izan da nabigaziorako. Elbatik Silesia eskualdeko oihalak eta ehunak garraiatzen ziren ibai honetatik, baita Bohemiako eta Saxoniako egurra, ikatza, zilarra, eta mineralak ere. Azken hamarkadetan, itsas garraioaren garrantzia murriztu egin da; izan ere, merkantzia asko trenbidez edo errepidez garraiatzen dira orain. Gaur egun, mundu osoko iontzi askok, soilik Elba Beherean nabigatzen dute Hanburgoko porturaino. Elbako ura oso zikina egoten zen hiri eta fabrika askoren hondakin-urengatik, baina orain garbiago dago. Gaur egun, arrain eta uretako hegazti asko bizi dira berriz ibaian eta inguruetan; hainbat natura- eta hegazti-erreserba daude Elba osoan zehar. Bigarren Mundu Gerraren ondoren Alemania bitan zatitu zenean, muga Elbako zati luze batean kokatu zen. Ibaia mendebalderantz zeharkatuz saiatu zen jende asko lehenagoko Alemaniako Errepublika Demokratikotik ihes egiten eta pertsona ugari hil ziren saiakera horretan. Elba ibaia Dresden hirian Izotza ibaian, neguan Hanburgoko portua Ibai-ahoa",Easy
"Giza eskubideak pertsona guztiek, gizaki izateagatik, izan behar ditugun eskubideak dira. Giza eskubideen oinarria da gizaki guztiok berdinak garela gizaki bezala ditugun eskubideetan, edozein izan arren gure sexua, adina, nazionalitatea, jatorria, erlijioa, hizkuntza, sexu-joera, posizio ekonomikoa edo bestelako ezaugarriak. Funtsezkoena da gizaki guztiek dutela bizitzeko eskubidea, bai eta nahi ditugun sinesteak edo iritziak izatekoa ere. Gizarte demokratikoetan, jende gehienak pentsatzen du gobernuek babestu eta bultzatu behar dituztela pertsona guztien giza eskubideak. Giza eskubideak ez dira nahasi behar eskubide zibilekin: azken hauek Estatu bakoitzeko lege eta konstituzioetan jasota dauden eskubideak dira. Adibidez, gidatzeko baimena ateratzea hiritarren eskubide zibila da; baina eskubide hori mugatuta egon daiteke baldintza batzuen arabera: leku gehienetan, adin nagusitasuna izan arte ezin da gidatzeko baimena atera. Aldiz, giza eskubideak gizaki guztiok gizaki izateagatik ditugunak dira eta ezin dira mugatu; askatasuna da, adibidez, giza eskubidea. Hain zuzen ere, giza eskubideek mugatu behar dute gobernuen boterea. Adibidez, askatasuna giza eskubidea da, eta Gobernu edo Estatuek delituren bat egin duen pertsonaren askatasuna bakarrik muga dezake, beste inorena ez. Beste kasu batzuetan, giza eskubideek obligazio edo betebeharrak jartzen dizkiete gobernu eta estatuei: adibidez, hezkuntzarako eskubidea bete ahal izateko, gobernu eta estatuek doaneko hezkuntza eskaini behar diete hiritar guztiei. Beste giza eskubide batzuek, azkenik, mundu mailako kolaborazio eta elkarlana eskatzen dute: adibidez, bakean bizitzeko eskubidea bete ahal izateko. Antzinako gizarteetan, jendeari ez zitzaion ia inolako eskubiderik aitortzen; jende gehienak obligazio eta betebeharrak besterik ez zuen agintarien aurrean. messi y tambien me gusta el futbol. Antzinako greziar eta erromatarrak hasi ziren lehen aldiz pentsatzen jendearen eskubideei buruz. Erromako estoikoek, adibidez, lege naturala deitzen zuten zerbait zegoela uste zuten; haien arabera, lege natural horiek zenbait eskubide ematen zizkion mundu guztiari, baita Erromako herritartasuna ez zutenei ere. Baina, geroago, XVII. mendera arte ez zen berriro hitz egin giza eskubideen antzeko ezeri buruz. Mende horretatik aurrera, Ilustrazioa edo Argien Garaia deitzen den mugimendu kultural eta intelektuala sortu zen. John Locke pentsalari ingelesak idatzi zuen gizabanakoaren eskubideak gobernuak baino lehenago daudela. Frantzian, Jean-Jacques Rousseau pentsalariak esan zuen gobernuen ardura dela norbanakoaren eskubide horiek babestea eta zaintzea. ""Gizakiaren eskubideak"" hasi ziren aipatzen gero eta gehiago. Amerikako Iraultzarekin (1775-83) eta Frantziako Iraultzarekin (1789) are gehiago zabaldu ziren ideia hauek. Estatu Batuen Independentzia Adierazpenean jasota geratu zen ""gizaki guztien"" eskubide zirela ""bizitza, askatasuna eta zorionaren bilaketa"". Frantzian, Gizakien eta Herritarren Eskubideen Adierazpena idatzi zen 1789an. Hala ere, baita Estatu Batuetan ere, jende guztiak ezin zituen betearazi bere giza eskubideak. Esklaboek ez zeukaten eskubiderik, eta emakumeek ere oso eskubide mugatuak zituzten. Estatu Batuetako esklaboek XIX. mendearen ia bukaera arte ez zituzten aitortuta ikusi beren giza eskubideak; eta emakumeek ere, herrialde askotan, XX. mendera arte ez zuten lortu gizonen eskubide berberak edukitzea. II. Mundu Gerran milioika pertsona hil ziren, baita gerran parte hartu ez bazuten ere. Alemaniako naziek 6 milioi pertsonatik gora hil zituzten, adibidez, juduak izateagatik bakar-bakarrik (hau da, beraien erlijio edo jatorriagatik), bai eta beste pertsona asko ere beste arrazoi batzuengatik. Nazioarteko auzitegi batek nazien buruzagi batzuk epaitu zituen ""Gizateriaren aurkako krimenak"" egiteagatik. Gerrako basakeriak eta, bereziki, juduek jasandako Holokaustoak argi erakutsi zieten herrialde askori beharrezkoa zela mundu guztiaren eskubideak babestea mundu osoan. Herrialde horietako batzuek Nazio Batuen Erakundea (NBE) sortu zuten, horregatik, 1945ean. Geroago, 1948an, NBEk Giza Eskubideen Aldarrikapen Unibertsala deritzana plazaratu zuen; aldarrikapen honek 30 atal edo artikulu ditu eta bertan aipatzen dira gizaki guztiek mundu osoan eduki behar dituzten giza eskubideak. Gainera, Giza Eskubideen Eguna ere ezarri zuten, urtero abenduaren 10ean ospatzeko. Nazio Batuen Erakundeak badu, gainera, Nazio Batuen Giza Eskubideetarako Goi Mandatariaren Bulegoa deitzen dena. Bulego honetan, beste hainbat talderekin lanean aritzen dira mundu osoan gizon, emakume eta umeen eskubideak babestearren.",Easy
"Mendilerroa lerrokaturik eta loturik dauden mendien multzoa da. Mendiez gain, harrateak, haranak, ordokiak eta ibaiak ere izaten dira mendilerroetan. Mendilerroa oso luzea denean, mendikate ere esaten zaio. Himalaia, Andeak, Alpeak, Atlasa eta Pirinioak mendikate handiak dira. Euskal Herriko mendikate nagusia Pirinioak dira; bertan jaio eta Mediterraneoraino iristen da. Aipagarria da Kantauriar mendilerroa ere, berez Pirinioen jarraipena dena. Maila apalagoko hainbat mendilerro ere badira, hala nola: Adartza, Altzania, Aralar, Argarai, Elgea, Girizu, Gorbeia, Lauriñaga, Leire, Lindus, Mendiaundi, Ordunte, Ortzanzurieta, Otsamunho, Sorogain, Urkulu eta Zaraia.",Easy
"Airbus hegazkinak egiten dituen enpresa baten izena da. Enpresa hau 1970ean sortu zuten, eta Frantziako Tolosa hirian dauzka bulego nagusiak. Enpresak hegazkin mota asko egiten ditu, mundu osorako. Airbus enpresaren webgunea: www.airbus.com",Easy
"Airbus hegazkinak egiten dituen enpresa baten izena da. Enpresa hau 1970ean sortu zuten, eta Frantziako Tolosa hirian dauzka bulego nagusiak. Enpresak hegazkin mota asko egiten ditu, mundu osorako. Airbus enpresaren webgunea: www.airbus.com",Easy
"Orkestra-zuzendaria orkestrako musika-jole guztiak koordinatzen dituen pertsona da. Agertokian, orkestraren aurrean jartzen da, askotan atril baten ondoan, musika-joleei begira eta ikusleei bizkarra emanda, eta batuta izeneko makiltxoa izaten du eskuan, baina ez beti. Partiturak izan ohi ditu eta musika-joleei elkarrekin behar bezala jotzen laguntzen die, markatzen die noiz jo indar handiagoz edo gutxiagoz, noiz hasi jotzen momentu bakoitzean, zer erritmorekin. Orkestrak kontzertua eman baino lehenago egiten dituen entsaioak ere prestatzen eta zuzentzen ditu. XVII. eta XVIII. mendeetan, konpositorea bera, biolinjole nagusia edota klabizenbaloa jotzen zuena izaten ziren musikaren denbora markatzen zutenak. Adibidez, Haydn eta Mozartek pianotik bertatik zuzentzen omen zituzten sinfoniak. Haien bidez hasi zen zuzendariaren zeregina garrantzia hartzen, eta pixkanaka zuzendaria musikajoleengandik bereizten hasi zen. Musikaren erritmoa markatzeko, zuzendariak paper biribilkatuak edo makilak hasi ziren erabiltzen, gaur egungo batuta baino lehenago. Jean-Baptiste Lully izeneko konpositorea horrelako makila batekin hartutako kolpe baten ondorioz hil zen; izan ere, 1687an, kontzertu bat zuzentzen ari zen bitartean, makila luze bat lurraren kontra joz ari zen markatzen musikaren erritmoa, garai hartan egiten zen bezala; eta, halako batean, bere oina jo zuen, eta hortik infekzio txar bat izan zuen; oineko zauria gangrenatu egin zitzaion eta oina moztea gomendatu zioten medikuei ez zien kasurik egin nahi izan; handik gutxira hil zen, infekzio horren eraginez.",Easy
